<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.13,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,91.94 ± 1.69 / 95.84 ± 0.92,43.70 ± 0.82 / 38.72 ± 0.71,48.07 ± 2.09 / 72.46 ± 1.22,68.01 ± 0.86 / 42.74 ± 1.02,36.38 ± 0.18 / 39.83 ± 0.19,67.31 ± 4.02 / 73.98 ± 3.54,26.17 ± 3.48 / 62.19 ± 2.71,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.14,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,94.94 ± 0.69 / 97.45 ± 0.35,47.50 ± 1.04 / 47.04 ± 0.99,36.62 ± 1.48 / 65.54 ± 0.98,74.56 ± 0.74 / 54.10 ± 1.04,33.74 ± 0.89 / 34.94 ± 1.06,57.12 ± 0.92 / 67.77 ± 0.70,39.72 ± 2.95 / 70.55 ± 1.30,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.14,?,?,200000.0,✓,✗,✗,✓,95.70 ± 1.32 / 97.85 ± 0.66,38.03 ± 1.59 / 31.09 ± 1.19,43.22 ± 2.58 / 68.68 ± 1.38,66.36 ± 0.89 / 34.94 ± 1.75,36.30 ± 0.40 / 39.96 ± 0.44,68.88 ± 1.85 / 76.60 ± 1.40,39.10 ± 4.79 / 70.47 ± 2.53,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.17,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,98.47 ± 0.20 / 99.23 ± 0.10,47.17 ± 1.37 / 38.05 ± 1.00,49.33 ± 2.75 / 74.12 ± 1.40,12.95 ± 1.28 / 1.09 ± 0.40,36.76 ± 0.30 / 38.32 ± 0.41,67.16 ± 0.61 / 75.32 ± 0.49,54.76 ± 2.58 / 77.24 ± 1.25,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.17.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.21,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,97.62 ± 0.40 / 98.80 ± 0.20,42.63 ± 0.65 / 36.82 ± 0.71,49.43 ± 1.48 / 74.53 ± 0.78,25.68 ± 1.24 / 3.26 ± 1.26,36.99 ± 0.07 / 39.99 ± 0.08,69.52 ± 0.56 / 77.08 ± 0.43,50.49 ± 1.35 / 75.24 ± 0.67,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.21,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,97.15 ± 0.40 / 98.57 ± 0.20,48.70 ± 1.67 / 40.45 ± 1.45,47.33 ± 2.39 / 73.43 ± 1.33,47.33 ± 10.75 / 27.45 ± 9.84,36.33 ± 0.18 / 38.50 ± 0.20,52.02 ± 0.74 / 63.89 ± 0.56,32.89 ± 2.30 / 66.41 ± 1.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.24,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,96.42 ± 0.69 / 98.20 ± 0.35,37.27 ± 1.29 / 34.74 ± 1.04,24.41 ± 2.00 / 50.16 ± 1.45,60.17 ± 1.12 / 36.81 ± 0.64,32.18 ± 0.86 / 33.74 ± 0.84,73.92 ± 1.41 / 80.27 ± 1.08,58.01 ± 3.66 / 80.31 ± 1.80,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.25,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,94.06 ± 0.38 / 97.01 ± 0.19,43.33 ± 0.34 / 35.78 ± 0.58,33.79 ± 0.96 / 62.80 ± 0.66,61.98 ± 0.73 / 34.96 ± 1.13,34.29 ± 0.12 / 38.26 ± 0.12,68.80 ± 0.69 / 76.55 ± 0.52,37.67 ± 2.28 / 68.79 ± 1.12,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.25,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,96.64 ± 0.97 / 98.29 ± 0.51,40.08 ± 2.04 / 38.21 ± 2.08,44.39 ± 2.45 / 71.24 ± 1.36,73.80 ± 1.82 / 56.24 ± 1.52,30.79 ± 2.55 / 31.20 ± 2.70,55.52 ± 0.76 / 66.40 ± 0.57,40.93 ± 1.62 / 70.44 ± 0.82,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.28,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,96.11 ± 1.61 / 98.03 ± 0.82,35.69 ± 0.83 / 28.08 ± 0.57,39.78 ± 2.65 / 65.05 ± 2.02,70.01 ± 1.69 / 43.03 ± 2.13,37.47 ± 0.22 / 40.73 ± 0.23,45.08 ± 1.91 / 58.20 ± 1.41,37.72 ± 6.17 / 67.81 ± 2.98,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.29,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,93.37 ± 0.74 / 96.62 ± 0.38,42.97 ± 0.81 / 33.19 ± 0.69,41.95 ± 2.42 / 69.28 ± 1.20,65.52 ± 0.91 / 42.59 ± 1.14,35.93 ± 0.18 / 39.44 ± 0.19,51.65 ± 1.62 / 63.32 ± 1.19,23.83 ± 3.53 / 64.77 ± 1.33,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.29,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,93.60 ± 0.57 / 96.78 ± 0.29,45.55 ± 0.71 / 37.24 ± 0.94,35.01 ± 1.12 / 61.41 ± 0.68,62.01 ± 1.12 / 34.86 ± 1.34,34.90 ± 0.13 / 38.30 ± 0.14,58.59 ± 1.04 / 68.88 ± 0.80,31.11 ± 2.53 / 65.51 ± 1.28,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.31,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,94.16 ± 0.63 / 97.06 ± 0.32,42.98 ± 1.13 / 43.17 ± 1.05,38.21 ± 1.31 / 67.98 ± 0.69,70.85 ± 1.38 / 50.59 ± 1.41,33.14 ± 0.84 / 34.33 ± 1.12,53.43 ± 1.63 / 64.92 ± 1.22,29.29 ± 2.74 / 65.16 ± 1.39,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.32,?,256128.0,1048576.0,✓,✗,✗,✓,91.17 ± 1.77 / 95.57 ± 0.88,36.06 ± 1.00 / 27.41 ± 0.75,34.22 ± 3.22 / 60.79 ± 1.73,65.27 ± 1.38 / 36.14 ± 1.52,36.81 ± 0.30 / 40.46 ± 0.33,62.46 ± 2.36 / 71.64 ± 1.84,32.46 ± 4.06 / 67.58 ± 2.01,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.32,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,96.50 ± 0.63 / 98.24 ± 0.32,43.06 ± 0.89 / 38.69 ± 0.42,31.03 ± 2.48 / 62.31 ± 1.58,76.93 ± 0.73 / 55.50 ± 1.09,37.99 ± 0.20 / 40.96 ± 0.21,37.97 ± 0.87 / 53.28 ± 0.69,24.09 ± 2.79 / 62.50 ± 1.42,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.33,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,93.84 ± 0.69 / 96.87 ± 0.35,45.16 ± 0.65 / 39.22 ± 0.64,33.65 ± 1.88 / 66.00 ± 1.06,62.28 ± 0.75 / 31.69 ± 0.87,36.04 ± 0.19 / 38.54 ± 0.21,47.84 ± 1.18 / 60.74 ± 0.89,33.37 ± 2.43 / 64.69 ± 1.21,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.36,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,94.48 ± 0.71 / 97.18 ± 0.37,9.56 ± 1.28 / 9.88 ± 1.27,45.49 ± 2.73 / 71.32 ± 1.53,40.92 ± 1.04 / 27.76 ± 1.02,35.77 ± 0.23 / 37.73 ± 0.31,81.31 ± 1.23 / 85.90 ± 0.92,66.51 ± 2.41 / 84.69 ± 1.07,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.36,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,95.97 ± 0.50 / 97.98 ± 0.25,44.09 ± 0.78 / 35.33 ± 1.19,36.07 ± 1.72 / 66.63 ± 0.96,67.73 ± 1.29 / 41.64 ± 2.03,36.66 ± 0.11 / 39.43 ± 0.13,42.18 ± 0.99 / 56.48 ± 0.77,26.38 ± 2.31 / 63.20 ± 1.11,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.37,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,95.66 ± 0.40 / 97.82 ± 0.20,40.78 ± 0.68 / 34.83 ± 0.79,30.39 ± 2.48 / 55.59 ± 3.22,70.51 ± 0.97 / 48.80 ± 1.19,36.39 ± 0.17 / 38.66 ± 0.29,50.75 ± 0.88 / 62.94 ± 0.68,26.42 ± 1.25 / 63.09 ± 0.70,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.38,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,96.77 ± 0.65 / 98.38 ± 0.33,40.89 ± 0.76 / 31.40 ± 0.79,40.18 ± 1.61 / 68.55 ± 1.28,22.22 ± 0.58 / 0.00 ± 0.00,37.22 ± 0.12 / 40.36 ± 0.14,63.20 ± 0.75 / 72.36 ± 0.56,40.85 ± 1.98 / 70.42 ± 0.98,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.38,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,97.31 ± 0.27 / 98.65 ± 0.14,46.25 ± 1.10 / 39.66 ± 1.05,34.10 ± 1.56 / 63.93 ± 1.66,24.50 ± 0.58 / 0.00 ± 0.00,35.45 ± 0.28 / 37.32 ± 0.42,63.70 ± 0.43 / 72.73 ± 0.32,39.88 ± 2.40 / 69.94 ± 1.19,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.39,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,90.34 ± 0.60 / 95.02 ± 0.32,42.44 ± 0.83 / 36.72 ± 0.99,27.28 ± 2.53 / 54.87 ± 1.75,59.56 ± 1.09 / 33.97 ± 1.15,32.82 ± 0.22 / 37.42 ± 0.16,74.19 ± 0.84 / 80.62 ± 0.62,28.26 ± 4.07 / 64.30 ± 1.49,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.41,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,89.33 ± 1.19 / 94.48 ± 0.62,41.92 ± 0.60 / 36.33 ± 0.55,26.65 ± 2.71 / 54.43 ± 1.78,58.89 ± 1.10 / 33.61 ± 1.29,31.00 ± 0.20 / 35.57 ± 0.16,75.60 ± 1.36 / 81.68 ± 1.02,31.85 ± 3.44 / 65.94 ± 1.45,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.43,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,62.35 ± 4.12 / 76.28 ± 3.21,45.69 ± 0.91 / 45.79 ± 0.81,47.05 ± 1.91 / 73.16 ± 0.94,74.57 ± 0.80 / 53.95 ± 1.06,30.39 ± 0.98 / 31.00 ± 1.10,54.82 ± 1.29 / 66.13 ± 0.93,20.68 ± 2.93 / 46.17 ± 1.64,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.43,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,96.63 ± 0.25 / 98.31 ± 0.13,43.22 ± 0.84 / 39.39 ± 0.94,52.15 ± 1.30 / 75.51 ± 0.83,26.30 ± 2.28 / 9.71 ± 1.51,36.81 ± 0.54 / 39.00 ± 0.75,44.85 ± 0.69 / 58.44 ± 0.56,29.15 ± 2.61 / 63.48 ± 1.35,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.44,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,93.39 ± 0.92 / 96.63 ± 0.49,40.47 ± 0.59 / 38.28 ± 0.71,31.19 ± 1.54 / 65.41 ± 0.74,73.57 ± 1.24 / 52.20 ± 2.07,35.78 ± 0.26 / 38.09 ± 0.36,43.45 ± 0.84 / 57.37 ± 0.65,22.74 ± 2.46 / 61.25 ± 1.16,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.44,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,93.14 ± 0.81 / 96.54 ± 0.41,38.70 ± 0.73 / 29.70 ± 0.92,32.43 ± 1.70 / 65.76 ± 0.84,57.91 ± 0.57 / 36.28 ± 0.91,31.00 ± 0.51 / 35.79 ± 0.49,68.52 ± 1.14 / 76.17 ± 0.93,30.85 ± 2.23 / 65.94 ± 0.94,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.48,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,92.48 ± 0.96 / 96.21 ± 0.50,38.20 ± 0.52 / 32.40 ± 0.65,33.65 ± 1.48 / 65.87 ± 0.83,69.20 ± 0.92 / 48.66 ± 1.14,36.31 ± 0.30 / 38.56 ± 0.49,42.43 ± 0.98 / 56.65 ± 0.79,21.16 ± 1.76 / 60.47 ± 0.88,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.55,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,91.60 ± 0.76 / 95.76 ± 0.38,39.91 ± 1.11 / 39.31 ± 1.08,29.51 ± 1.71 / 60.85 ± 1.97,70.49 ± 0.94 / 49.05 ± 1.19,33.77 ± 0.52 / 35.37 ± 0.60,44.85 ± 1.35 / 58.24 ± 0.95,12.15 ± 4.22 / 59.77 ± 1.61,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.55,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,95.44 ± 0.52 / 97.70 ± 0.27,41.64 ± 0.83 / 37.56 ± 1.10,24.57 ± 2.44 / 61.67 ± 1.44,73.90 ± 1.35 / 50.55 ± 1.73,34.34 ± 0.53 / 36.16 ± 0.74,36.08 ± 1.22 / 51.85 ± 0.92,19.54 ± 1.24 / 59.75 ± 0.62,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.55,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,95.35 ± 0.56 / 97.65 ± 0.29,42.83 ± 0.73 / 39.15 ± 0.99,24.08 ± 2.32 / 61.54 ± 1.46,71.88 ± 1.57 / 50.16 ± 1.66,34.28 ± 0.51 / 36.02 ± 0.72,34.71 ± 1.20 / 50.86 ± 0.88,18.64 ± 1.32 / 59.21 ± 0.70,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.57,?,?,?,✓,✗,(✓),✓,92.33 ± 0.96 / 96.12 ± 0.51,41.45 ± 0.91 / 33.96 ± 0.91,28.34 ± 2.20 / 62.94 ± 1.68,71.92 ± 1.05 / 49.15 ± 1.49,35.37 ± 0.09 / 38.64 ± 0.09,35.82 ± 0.93 / 51.75 ± 0.69,11.57 ± 1.66 / 55.70 ± 0.85,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.58,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,94.02 ± 0.97 / 96.91 ± 0.52,12.86 ± 2.63 / 11.97 ± 2.19,29.49 ± 2.64 / 63.75 ± 1.50,36.40 ± 0.92 / 27.74 ± 0.82,34.54 ± 0.42 / 36.38 ± 0.48,74.90 ± 1.37 / 81.02 ± 1.07,55.02 ± 2.89 / 79.45 ± 1.09,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.58,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,80.17 ± 2.43 / 88.95 ± 1.49,40.74 ± 1.06 / 39.34 ± 1.26,40.24 ± 2.06 / 68.65 ± 1.35,71.86 ± 1.83 / 53.86 ± 2.22,30.69 ± 1.87 / 31.14 ± 2.07,43.40 ± 1.14 / 57.23 ± 0.92,16.17 ± 2.02 / 57.54 ± 1.07,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.60,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,86.99 ± 1.27 / 93.03 ± 0.73,44.86 ± 1.18 / 43.54 ± 1.50,17.47 ± 1.24 / 56.18 ± 2.51,80.55 ± 0.62 / 62.68 ± 1.14,31.62 ± 1.76 / 32.62 ± 2.15,39.26 ± 1.09 / 53.93 ± 0.85,17.29 ± 1.46 / 58.26 ± 0.87,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.61,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,85.96 ± 1.08 / 92.94 ± 0.54,42.02 ± 0.65 / 34.39 ± 0.77,19.16 ± 2.07 / 57.87 ± 0.97,70.56 ± 0.87 / 47.42 ± 1.44,35.24 ± 0.17 / 37.77 ± 0.18,40.04 ± 1.88 / 54.34 ± 1.45,16.90 ± 4.32 / 60.31 ± 1.90,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.61,?,?,?,✓,✗,(✓),✓,91.82 ± 1.51 / 95.80 ± 0.83,35.88 ± 0.88 / 28.08 ± 0.85,30.09 ± 1.65 / 64.10 ± 1.17,63.71 ± 1.04 / 41.66 ± 1.54,34.17 ± 0.16 / 37.54 ± 0.15,44.11 ± 0.94 / 57.75 ± 0.71,16.92 ± 1.77 / 57.76 ± 0.98,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.66,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,94.67 ± 0.67 / 97.30 ± 0.35,40.52 ± 1.01 / 33.36 ± 0.81,33.86 ± 1.24 / 66.39 ± 1.05,36.00 ± 5.09 / 5.70 ± 2.24,36.28 ± 0.27 / 38.18 ± 0.45,43.18 ± 0.83 / 56.90 ± 0.69,15.00 ± 2.49 / 57.44 ± 1.20,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.69,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,94.86 ± 0.59 / 97.41 ± 0.30,37.83 ± 0.80 / 35.19 ± 0.88,20.97 ± 1.69 / 57.06 ± 1.37,75.70 ± 0.66 / 59.09 ± 0.80,30.13 ± 1.72 / 31.34 ± 1.92,49.34 ± 0.95 / 61.29 ± 0.59,8.56 ± 3.07 / 54.61 ± 1.13,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.69,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,83.02 ± 1.46 / 91.07 ± 0.81,40.11 ± 0.90 / 36.86 ± 0.87,18.18 ± 1.51 / 50.69 ± 0.97,58.45 ± 0.56 / 35.42 ± 0.93,29.74 ± 0.48 / 32.95 ± 0.48,52.47 ± 1.73 / 64.06 ± 1.39,30.93 ± 2.40 / 66.02 ± 1.46,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
