<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,1.92,N/A,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,58.45 ± 1.60 / 71.57 ± 1.13,80.26 ± 1.41 / 68.97 ± 1.44,51.25 ± 2.27 / 73.97 ± 1.65,78.66 ± 1.39 / 61.16 ± 1.14,31.48 ± 1.05 / 32.27 ± 1.18,61.40 ± 1.56 / 71.09 ± 1.15,54.41 ± 1.30 / 65.35 ± 0.92,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.92,0.06,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,66.68 ± 1.09 / 77.02 ± 1.10,75.58 ± 1.06 / 54.84 ± 2.26,23.61 ± 3.29 / 57.25 ± 2.94,71.39 ± 0.54 / 50.30 ± 1.27,38.42 ± 0.23 / 41.15 ± 0.26,64.12 ± 1.22 / 73.03 ± 0.92,70.86 ± 1.12 / 78.06 ± 0.86,15.5.0,15.5.0,15.5.0,15.5.0,16.15.0.dev0,15.5.0,15.5.0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.94,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,64.21 ± 1.06 / 74.96 ± 0.94,76.33 ± 1.68 / 44.27 ± 1.21,42.67 ± 1.11 / 67.43 ± 0.73,61.38 ± 0.71 / 36.57 ± 0.84,35.59 ± 0.28 / 39.97 ± 0.20,74.21 ± 0.49 / 80.64 ± 0.38,57.06 ± 0.69 / 67.70 ± 0.52,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.94,12.17,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,60.83 ± 2.06 / 71.75 ± 1.62,56.06 ± 4.17 / 46.00 ± 3.11,62.03 ± 4.34 / 80.07 ± 2.49,73.35 ± 1.28 / 53.25 ± 1.45,38.93 ± 0.22 / 42.50 ± 0.23,46.01 ± 2.24 / 59.26 ± 1.68,45.16 ± 2.40 / 58.01 ± 1.87,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.95,0.34,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,66.38 ± 1.11 / 77.08 ± 0.89,75.55 ± 1.42 / 54.23 ± 1.66,25.77 ± 3.06 / 57.00 ± 3.09,70.95 ± 0.76 / 48.52 ± 1.44,38.63 ± 0.21 / 41.21 ± 0.24,56.67 ± 1.07 / 67.45 ± 0.79,66.34 ± 1.04 / 74.68 ± 0.77,15.5.0,15.5.0,15.5.0,15.5.0,16.15.0.dev0,15.5.0,15.5.0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,1.96,0.02,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,54.22 ± 1.37 / 67.37 ± 1.19,68.83 ± 2.18 / 49.32 ± 1.85,49.54 ± 1.24 / 74.39 ± 0.75,75.65 ± 0.66 / 56.39 ± 0.82,37.17 ± 0.21 / 40.68 ± 0.20,56.80 ± 1.30 / 67.30 ± 1.01,51.40 ± 1.00 / 62.42 ± 0.81,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.96,19.41,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,59.59 ± 1.48 / 72.35 ± 1.14,68.40 ± 0.96 / 56.27 ± 1.40,50.97 ± 1.39 / 75.04 ± 0.82,71.49 ± 1.11 / 52.18 ± 1.30,37.07 ± 0.56 / 39.50 ± 0.69,52.13 ± 1.06 / 64.08 ± 0.81,60.72 ± 0.77 / 70.53 ± 0.59,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.97,N/A,27432406640.0,262144.0,?,✓,✗,(✓),✓,60.17 ± 3.16 / 70.43 ± 3.48,65.20 ± 3.17 / 55.94 ± 2.90,57.15 ± 5.82 / 77.46 ± 3.78,72.87 ± 5.07 / 54.31 ± 4.25,32.36 ± 1.01 / 32.75 ± 1.12,63.28 ± 1.30 / 72.42 ± 0.99,55.52 ± 3.69 / 65.43 ± 3.15,16.5.0.dev0,15.6.1,16.5.0.dev0,15.6.1,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.98,81.84,?,?,1047576.0,✓,✗,✗,✓,53.49 ± 1.35 / 56.32 ± 1.10,65.26 ± 2.07 / 36.83 ± 1.60,24.77 ± 2.76 / 50.73 ± 1.49,68.37 ± 1.09 / 40.38 ± 1.47,38.72 ± 0.35 / 42.70 ± 0.36,79.50 ± 1.68 / 84.65 ± 1.27,74.50 ± 2.05 / 80.62 ± 1.61,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,15.6.1.dev0,16.15.0.dev0,15.6.1.dev0,15.6.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.98,36.97,?,?,400000.0,✓,✗,✗,✓,61.37 ± 0.98 / 71.13 ± 0.79,55.68 ± 1.43 / 34.33 ± 0.91,51.91 ± 1.32 / 74.31 ± 0.74,67.87 ± 0.53 / 41.51 ± 0.49,36.63 ± 0.20 / 41.75 ± 0.20,81.53 ± 0.92 / 86.05 ± 0.70,46.29 ± 1.49 / 59.69 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.98,5.08,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,49.78 ± 0.61 / 49.73 ± 0.31,83.25 ± 1.02 / 57.76 ± 2.17,22.47 ± 2.13 / 55.30 ± 1.53,66.82 ± 1.04 / 36.83 ± 1.77,37.59 ± 0.33 / 39.01 ± 0.46,71.76 ± 0.78 / 78.83 ± 0.58,76.56 ± 0.94 / 82.22 ± 0.75,15.3.1,15.3.1,15.3.1,15.3.1,16.17.0.dev0,15.3.1,15.3.1
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,📝,1.98,0.04,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,62.89 ± 1.14 / 74.69 ± 0.75,78.57 ± 0.77 / 60.80 ± 0.99,57.06 ± 2.50 / 76.73 ± 1.43,66.09 ± 0.74 / 47.35 ± 0.76,35.77 ± 0.28 / 39.09 ± 0.33,52.52 ± 1.99 / 64.57 ± 1.52,37.11 ± 2.02 / 52.73 ± 1.49,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.00,0.01,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,60.01 ± 1.28 / 68.56 ± 1.45,63.51 ± 1.58 / 45.74 ± 3.19,59.27 ± 4.73 / 77.77 ± 4.02,62.67 ± 2.07 / 43.76 ± 2.46,37.07 ± 1.17 / 39.34 ± 1.41,51.07 ± 0.64 / 63.15 ± 0.45,57.14 ± 1.16 / 67.59 ± 0.86,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,2.02,?,?,256128.0,1048576.0,✓,✗,✗,✓,59.73 ± 2.78 / 67.58 ± 2.21,66.57 ± 1.71 / 42.35 ± 1.35,27.27 ± 2.77 / 51.40 ± 1.70,69.97 ± 1.15 / 43.91 ± 1.39,37.86 ± 0.31 / 42.67 ± 0.31,81.83 ± 1.85 / 86.21 ± 1.44,54.63 ± 1.85 / 65.90 ± 1.45,15.13.0,15.13.0,15.13.0,15.13.0,16.15.0.dev0,15.13.0,15.13.0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.03,?,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,61.07 ± 1.57 / 73.59 ± 1.15,59.40 ± 2.14 / 51.70 ± 1.87,57.06 ± 2.09 / 77.34 ± 1.14,42.72 ± 1.36 / 32.92 ± 1.25,36.67 ± 0.48 / 38.97 ± 0.56,70.83 ± 1.17 / 77.81 ± 0.91,58.67 ± 1.55 / 67.70 ± 1.33,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.03,0.01,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,52.53 ± 1.50 / 67.13 ± 1.10,71.31 ± 0.76 / 53.51 ± 1.42,47.43 ± 1.73 / 72.97 ± 0.96,71.10 ± 0.63 / 42.91 ± 1.00,38.85 ± 0.18 / 41.49 ± 0.20,54.15 ± 1.38 / 65.47 ± 1.02,44.60 ± 0.89 / 58.09 ± 0.71,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.03,66.8,?,?,200000.0,✓,✗,✗,✓,62.79 ± 1.97 / 72.25 ± 1.61,62.49 ± 1.52 / 42.91 ± 1.50,22.83 ± 2.40 / 46.95 ± 1.64,68.34 ± 1.35 / 37.51 ± 1.78,37.55 ± 0.43 / 41.92 ± 0.43,72.42 ± 2.26 / 79.30 ± 1.82,68.84 ± 1.37 / 76.45 ± 0.93,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.15.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.04,45.09,?,?,400000.0,✓,✗,✗,✓,57.88 ± 1.23 / 68.04 ± 0.86,53.88 ± 1.57 / 33.11 ± 0.80,52.00 ± 1.65 / 74.70 ± 0.91,67.24 ± 0.45 / 42.11 ± 0.72,36.36 ± 0.20 / 41.44 ± 0.21,80.23 ± 0.90 / 85.16 ± 0.67,41.77 ± 1.32 / 56.29 ± 0.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.05,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,57.93 ± 2.57 / 71.09 ± 2.00,72.48 ± 2.59 / 45.92 ± 3.09,41.68 ± 1.17 / 65.92 ± 0.79,57.02 ± 1.52 / 34.67 ± 2.07,36.46 ± 0.31 / 40.13 ± 0.29,66.29 ± 1.04 / 74.70 ± 0.79,56.40 ± 1.42 / 66.97 ± 1.14,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.06,?,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,58.65 ± 1.09 / 71.31 ± 0.88,79.23 ± 1.20 / 68.26 ± 1.04,35.34 ± 2.22 / 59.66 ± 1.69,71.43 ± 2.22 / 51.68 ± 1.87,34.20 ± 1.22 / 36.49 ± 1.24,70.73 ± 1.66 / 77.89 ± 1.28,44.12 ± 2.18 / 57.30 ± 1.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.09,?,?,100256.0,272000.0,✓,✗,✗,✓,62.43 ± 2.77 / 72.87 ± 2.17,73.89 ± 1.22 / 49.93 ± 1.52,23.41 ± 1.79 / 45.82 ± 1.95,64.38 ± 1.05 / 38.30 ± 1.11,36.70 ± 0.35 / 41.59 ± 0.37,81.68 ± 1.59 / 86.17 ± 1.21,44.99 ± 3.02 / 58.71 ± 2.15,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,16.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.10,4.55,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,60.09 ± 1.40 / 72.82 ± 1.06,70.23 ± 1.02 / 48.83 ± 2.28,26.97 ± 1.22 / 53.61 ± 0.85,70.62 ± 1.46 / 52.20 ± 1.64,38.55 ± 0.18 / 41.62 ± 0.13,55.92 ± 1.35 / 66.90 ± 1.01,55.19 ± 1.19 / 65.93 ± 0.94,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.12,38.7,?,?,400000.0,✓,✗,✗,✓,56.22 ± 1.03 / 66.37 ± 0.87,46.23 ± 1.35 / 26.11 ± 0.74,54.99 ± 1.30 / 77.04 ± 0.67,66.75 ± 0.58 / 41.31 ± 0.80,36.22 ± 0.17 / 41.34 ± 0.17,77.15 ± 0.99 / 82.81 ± 0.74,40.68 ± 1.51 / 55.51 ± 1.11,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.16,16.29,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,58.27 ± 1.48 / 71.21 ± 1.13,72.68 ± 1.11 / 50.57 ± 2.76,43.24 ± 1.50 / 70.49 ± 0.89,68.73 ± 2.94 / 48.64 ± 2.80,36.67 ± 0.32 / 39.30 ± 0.43,43.30 ± 1.29 / 57.44 ± 0.98,44.38 ± 1.23 / 58.29 ± 0.92,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.17,N/A,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,40.79 ± 1.38 / 56.50 ± 0.80,71.07 ± 2.81 / 60.53 ± 2.07,53.43 ± 3.01 / 75.99 ± 1.62,76.39 ± 2.64 / 59.97 ± 2.23,32.56 ± 0.91 / 33.75 ± 1.05,57.41 ± 1.63 / 67.97 ± 1.28,45.10 ± 2.53 / 57.66 ± 2.12,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.18,1.36,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,59.69 ± 1.05 / 71.52 ± 1.15,63.95 ± 1.21 / 36.18 ± 2.06,32.43 ± 2.48 / 64.52 ± 2.02,67.36 ± 0.90 / 46.53 ± 0.87,38.70 ± 0.12 / 42.43 ± 0.13,46.64 ± 1.21 / 59.59 ± 0.91,56.19 ± 1.33 / 66.88 ± 0.96,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,17.0.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.18,5.46,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,54.23 ± 1.79 / 68.97 ± 1.06,69.69 ± 1.70 / 51.75 ± 2.53,45.89 ± 2.23 / 71.41 ± 1.14,68.17 ± 1.79 / 52.38 ± 1.90,37.89 ± 0.30 / 41.44 ± 0.38,37.23 ± 1.14 / 52.70 ± 0.87,42.81 ± 2.04 / 56.14 ± 1.90,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.19,0.15,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,57.28 ± 1.12 / 70.54 ± 0.65,73.81 ± 1.16 / 53.85 ± 2.60,41.26 ± 1.64 / 69.67 ± 0.91,68.83 ± 1.91 / 50.19 ± 1.76,36.95 ± 0.29 / 39.56 ± 0.39,41.78 ± 1.30 / 56.32 ± 0.98,41.38 ± 1.45 / 56.04 ± 1.09,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.21,12.38,?,256128.0,1048576.0,✓,✗,✗,✓,59.38 ± 2.18 / 69.84 ± 1.74,56.47 ± 1.37 / 34.45 ± 0.87,18.18 ± 3.70 / 53.93 ± 1.97,74.89 ± 0.97 / 51.30 ± 1.24,37.64 ± 0.30 / 42.32 ± 0.30,66.13 ± 1.62 / 74.26 ± 1.22,52.90 ± 3.32 / 64.45 ± 2.50,15.13.0,15.13.0,15.13.0,15.13.0,16.15.0.dev0,15.13.0,15.13.0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.22,N/A,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,31.95 ± 2.36 / 37.56 ± 1.87,76.75 ± 1.61 / 65.68 ± 1.49,58.14 ± 3.19 / 78.59 ± 1.81,77.89 ± 1.81 / 58.02 ± 1.49,27.20 ± 1.05 / 27.60 ± 1.02,62.17 ± 1.23 / 71.56 ± 0.94,56.50 ± 2.15 / 65.94 ± 1.81,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.23,0.83,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,57.35 ± 1.37 / 70.88 ± 0.94,61.43 ± 2.97 / 39.48 ± 2.51,28.47 ± 3.38 / 60.99 ± 2.77,68.28 ± 0.81 / 51.23 ± 0.71,38.30 ± 0.20 / 41.57 ± 0.19,50.20 ± 0.88 / 62.54 ± 0.68,50.85 ± 0.67 / 62.95 ± 0.45,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.15.0.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.23,0.38,?,?,?,✓,✗,(✓),✓,53.37 ± 1.53 / 65.41 ± 1.73,58.66 ± 1.69 / 36.23 ± 2.33,45.90 ± 3.19 / 71.61 ± 2.64,68.77 ± 0.57 / 49.36 ± 1.03,35.35 ± 0.19 / 39.97 ± 0.17,42.09 ± 0.61 / 56.40 ± 0.46,55.51 ± 1.28 / 66.58 ± 0.98,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.27,0.26,?,?,?,✓,✗,(✓),✓,56.08 ± 1.25 / 70.27 ± 1.04,52.94 ± 2.41 / 33.59 ± 2.31,53.69 ± 1.68 / 76.56 ± 0.87,62.87 ± 0.46 / 41.94 ± 0.80,34.13 ± 0.27 / 38.43 ± 0.17,45.72 ± 0.90 / 58.98 ± 0.66,50.86 ± 1.20 / 63.11 ± 0.94,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.28,?,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,62.38 ± 1.34 / 71.96 ± 0.87,67.23 ± 1.52 / 50.31 ± 2.19,0.00 ± 0.00 / 33.74 ± 0.46,75.14 ± 0.87 / 56.28 ± 0.73,36.16 ± 0.31 / 40.05 ± 0.26,62.46 ± 1.36 / 71.91 ± 1.05,60.01 ± 1.26 / 69.80 ± 0.93,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.30,N/A,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,48.02 ± 2.20 / 63.89 ± 1.51,57.26 ± 2.85 / 47.95 ± 2.04,41.72 ± 3.62 / 69.19 ± 2.18,79.17 ± 0.48 / 60.15 ± 0.78,31.21 ± 0.91 / 31.72 ± 0.95,60.97 ± 1.14 / 70.31 ± 0.86,42.56 ± 2.34 / 56.13 ± 1.84,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.32,?,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,56.07 ± 1.10 / 67.45 ± 0.78,74.27 ± 1.39 / 61.07 ± 1.79,0.00 ± 0.00 / 33.74 ± 0.46,78.42 ± 1.16 / 60.89 ± 0.89,33.52 ± 1.35 / 36.74 ± 1.42,57.96 ± 1.18 / 68.75 ± 0.88,67.62 ± 1.40 / 75.55 ± 1.04,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.33,11.09,?,?,400000.0,✓,✗,✗,✓,51.81 ± 1.21 / 66.22 ± 0.88,45.90 ± 1.79 / 23.74 ± 0.80,44.93 ± 1.69 / 72.40 ± 0.84,67.39 ± 0.69 / 45.38 ± 0.75,36.22 ± 0.17 / 41.35 ± 0.17,52.26 ± 0.98 / 64.45 ± 0.73,43.56 ± 1.54 / 57.66 ± 1.12,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.36,?,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,61.71 ± 1.30 / 73.43 ± 0.94,57.96 ± 1.65 / 39.66 ± 1.19,38.45 ± 1.33 / 68.76 ± 0.66,58.65 ± 1.07 / 38.91 ± 0.73,28.97 ± 1.55 / 32.38 ± 1.70,69.11 ± 2.08 / 75.97 ± 1.84,52.57 ± 1.13 / 63.85 ± 0.87,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.15.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.36,9.48,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,59.48 ± 1.38 / 72.29 ± 1.17,65.73 ± 2.28 / 45.04 ± 1.19,44.61 ± 1.86 / 65.47 ± 1.95,28.96 ± 8.03 / 9.05 ± 7.18,37.86 ± 0.25 / 39.74 ± 0.52,49.61 ± 1.03 / 62.02 ± 0.73,40.83 ± 6.88 / 53.23 ± 6.47,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.36,0.38,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,49.73 ± 1.34 / 65.41 ± 1.04,56.39 ± 2.05 / 46.14 ± 1.45,40.10 ± 2.03 / 68.71 ± 1.18,69.69 ± 0.63 / 44.70 ± 1.18,38.97 ± 0.21 / 41.84 ± 0.25,38.88 ± 2.23 / 53.55 ± 1.60,32.02 ± 1.38 / 48.52 ± 1.07,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
