<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.09,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,62.08 ± 2.58 / 62.04 ± 2.22,75.06 ± 1.40 / 75.06 ± 1.40,16.33 ± 1.83 / 43.75 ± 1.02,66.59 ± 0.71 / 42.73 ± 1.13,30.77 ± 0.55 / 33.24 ± 0.66,65.20 ± 1.50 / 73.67 ± 1.14,48.60 ± 2.84 / 75.00 ± 1.35,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.10,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,60.30 ± 1.61 / 60.25 ± 0.97,67.90 ± 2.02 / 67.90 ± 2.02,48.26 ± 2.64 / 73.35 ± 1.59,23.27 ± 0.51 / 0.00 ± 0.00,38.09 ± 0.26 / 41.17 ± 0.46,68.81 ± 0.57 / 76.63 ± 0.42,39.09 ± 1.96 / 69.54 ± 0.97,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.11,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,71.32 ± 2.58 / 64.36 ± 2.06,71.79 ± 1.65 / 71.79 ± 1.65,15.70 ± 2.69 / 40.05 ± 1.38,65.78 ± 0.66 / 31.32 ± 0.73,35.47 ± 0.26 / 40.49 ± 0.23,69.90 ± 1.64 / 77.42 ± 1.22,25.91 ± 3.81 / 63.12 ± 1.69,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.11,?,?,400000.0,✓,✗,✗,✓,67.01 ± 1.86 / 56.92 ± 0.97,60.60 ± 1.28 / 60.60 ± 1.28,32.88 ± 2.14 / 54.65 ± 1.33,61.84 ± 0.72 / 31.66 ± 1.19,31.77 ± 0.17 / 38.25 ± 0.19,73.84 ± 0.74 / 80.39 ± 0.54,41.14 ± 1.32 / 69.77 ± 0.59,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.13,?,?,400000.0,✓,✗,✗,✓,70.67 ± 2.01 / 57.24 ± 1.01,60.99 ± 1.04 / 60.99 ± 1.04,47.54 ± 1.83 / 68.04 ± 1.11,64.89 ± 0.62 / 33.43 ± 1.05,31.80 ± 0.12 / 38.33 ± 0.13,67.88 ± 1.14 / 75.90 ± 0.83,18.59 ± 3.21 / 58.59 ± 1.72,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.14,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,53.79 ± 1.77 / 59.13 ± 1.58,66.48 ± 2.52 / 66.48 ± 2.52,54.92 ± 1.56 / 77.34 ± 0.72,23.25 ± 0.50 / 0.08 ± 0.07,38.34 ± 0.16 / 43.12 ± 0.18,66.47 ± 1.06 / 74.81 ± 0.79,39.56 ± 1.69 / 69.78 ± 0.85,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.14,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,54.48 ± 1.89 / 60.83 ± 0.80,65.24 ± 2.26 / 65.24 ± 2.26,7.14 ± 3.07 / 34.90 ± 1.36,72.95 ± 1.28 / 47.34 ± 2.31,38.52 ± 0.19 / 42.34 ± 0.27,63.16 ± 0.83 / 72.28 ± 0.62,46.07 ± 1.75 / 73.02 ± 0.88,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.16,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,67.20 ± 2.57 / 62.36 ± 2.32,74.17 ± 3.14 / 74.17 ± 3.14,0.00 ± 0.00 / 33.36 ± 0.27,75.86 ± 1.93 / 48.33 ± 4.99,29.32 ± 2.20 / 30.15 ± 2.57,61.36 ± 1.13 / 70.81 ± 0.86,53.00 ± 2.21 / 76.47 ± 1.10,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.16,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,61.68 ± 2.84 / 62.29 ± 1.19,75.48 ± 2.79 / 75.48 ± 2.79,0.00 ± 0.00 / 33.36 ± 0.27,76.33 ± 1.53 / 48.85 ± 4.18,32.47 ± 2.39 / 33.50 ± 2.92,64.00 ± 1.06 / 72.89 ± 0.82,46.76 ± 1.08 / 73.34 ± 0.56,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.17,?,256128.0,1048576.0,✓,✗,✗,✓,61.08 ± 4.31 / 58.67 ± 3.12,59.92 ± 1.16 / 59.92 ± 1.16,42.24 ± 5.37 / 67.75 ± 3.18,64.08 ± 1.17 / 38.20 ± 2.08,34.39 ± 0.42 / 40.49 ± 0.48,59.93 ± 2.48 / 69.73 ± 1.93,23.13 ± 5.18 / 63.20 ± 2.84,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.19,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,58.41 ± 2.36 / 59.83 ± 1.45,64.30 ± 2.61 / 64.30 ± 2.61,37.53 ± 1.98 / 66.53 ± 1.78,71.87 ± 0.70 / 52.24 ± 0.72,38.84 ± 0.20 / 43.22 ± 0.33,48.33 ± 0.59 / 61.08 ± 0.41,16.64 ± 2.16 / 58.32 ± 1.13,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.19,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,62.33 ± 2.37 / 63.09 ± 1.33,74.85 ± 2.49 / 74.85 ± 2.49,0.00 ± 0.00 / 33.36 ± 0.27,74.03 ± 1.75 / 46.28 ± 4.04,32.33 ± 1.37 / 33.44 ± 1.56,65.66 ± 1.00 / 74.25 ± 0.73,42.14 ± 1.73 / 70.91 ± 0.87,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.21,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,66.68 ± 1.71 / 58.77 ± 1.37,60.57 ± 2.14 / 60.57 ± 2.14,33.25 ± 1.10 / 65.77 ± 1.12,72.81 ± 1.73 / 47.83 ± 3.08,36.76 ± 0.90 / 39.81 ± 1.20,48.80 ± 0.96 / 61.56 ± 0.75,17.10 ± 2.07 / 58.35 ± 0.93,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.22,?,100256.0,272000.0,✓,✗,✗,✓,68.29 ± 3.71 / 57.75 ± 1.31,61.03 ± 1.99 / 61.03 ± 1.99,18.35 ± 3.44 / 50.65 ± 1.93,63.79 ± 1.67 / 38.10 ± 2.09,30.81 ± 0.30 / 37.44 ± 0.31,75.62 ± 1.60 / 81.68 ± 1.19,37.01 ± 4.44 / 69.61 ± 2.42,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.22,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,66.88 ± 1.61 / 62.49 ± 1.69,64.62 ± 1.32 / 64.62 ± 1.32,30.16 ± 2.59 / 55.73 ± 1.85,62.92 ± 0.81 / 38.12 ± 1.33,28.62 ± 0.36 / 34.87 ± 0.37,69.99 ± 1.33 / 77.38 ± 1.02,32.88 ± 3.64 / 65.31 ± 1.59,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.22,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,72.22 ± 1.74 / 62.19 ± 1.81,78.90 ± 1.82 / 78.90 ± 1.82,0.00 ± 0.00 / 32.87 ± 0.49,74.48 ± 1.04 / 50.23 ± 2.31,30.56 ± 0.88 / 32.65 ± 1.19,61.95 ± 1.50 / 71.33 ± 1.17,27.68 ± 3.44 / 64.30 ± 1.52,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.23,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,67.55 ± 2.90 / 65.89 ± 2.09,74.82 ± 2.23 / 74.82 ± 2.23,0.00 ± 0.00 / 33.36 ± 0.27,77.70 ± 0.95 / 58.41 ± 2.63,32.25 ± 1.35 / 33.46 ± 1.62,56.97 ± 0.82 / 67.57 ± 0.61,35.90 ± 2.91 / 67.68 ± 1.74,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.23,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,59.70 ± 1.23 / 56.17 ± 0.98,61.40 ± 1.47 / 61.40 ± 1.47,22.24 ± 0.99 / 51.22 ± 0.52,64.25 ± 0.84 / 37.08 ± 1.14,34.90 ± 0.15 / 40.68 ± 0.13,72.50 ± 0.84 / 79.37 ± 0.64,31.93 ± 2.53 / 65.95 ± 1.30,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.28,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,71.92 ± 2.37 / 68.20 ± 2.71,77.83 ± 1.72 / 77.83 ± 1.72,0.00 ± 0.00 / 32.87 ± 0.49,73.01 ± 1.06 / 48.11 ± 2.34,30.46 ± 1.16 / 32.80 ± 1.48,60.49 ± 1.69 / 70.08 ± 1.34,21.15 ± 2.58 / 60.62 ± 0.91,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.30,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,53.93 ± 1.95 / 56.39 ± 1.21,65.39 ± 1.55 / 65.39 ± 1.55,24.50 ± 1.77 / 49.54 ± 1.18,64.43 ± 0.84 / 38.57 ± 0.89,35.75 ± 0.36 / 40.65 ± 0.15,62.73 ± 0.69 / 72.02 ± 0.52,24.13 ± 1.80 / 62.08 ± 0.92,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.30,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,66.16 ± 2.29 / 60.68 ± 1.61,68.83 ± 1.58 / 68.83 ± 1.58,26.63 ± 2.41 / 54.15 ± 1.59,61.70 ± 0.63 / 37.07 ± 0.89,25.78 ± 0.31 / 31.52 ± 0.35,65.74 ± 1.77 / 74.14 ± 1.34,28.76 ± 3.29 / 63.12 ± 1.72,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.31,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,54.35 ± 1.63 / 59.23 ± 1.19,69.14 ± 1.64 / 69.14 ± 1.64,0.00 ± 0.00 / 33.36 ± 0.27,14.99 ± 0.42 / 0.04 ± 0.05,39.48 ± 0.23 / 42.94 ± 0.40,76.93 ± 0.59 / 82.64 ± 0.45,56.97 ± 1.31 / 78.43 ± 0.68,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.35,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,69.93 ± 1.89 / 61.82 ± 1.75,63.90 ± 1.50 / 63.90 ± 1.50,0.00 ± 0.00 / 33.74 ± 0.46,71.43 ± 0.71 / 50.59 ± 0.91,32.89 ± 0.35 / 38.30 ± 0.38,62.02 ± 1.30 / 71.25 ± 1.02,27.69 ± 2.50 / 64.84 ± 1.47,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.38,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,67.32 ± 2.36 / 61.08 ± 1.96,71.37 ± 2.08 / 71.37 ± 2.08,20.51 ± 2.50 / 59.55 ± 1.30,63.23 ± 0.85 / 33.86 ± 1.24,19.83 ± 1.55 / 24.53 ± 1.91,72.33 ± 1.85 / 79.14 ± 1.39,28.76 ± 3.44 / 65.00 ± 1.77,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.40,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,58.64 ± 1.18 / 60.34 ± 1.72,66.23 ± 2.44 / 66.23 ± 2.44,1.05 ± 2.07 / 33.60 ± 0.58,16.53 ± 1.15 / 1.52 ± 0.59,37.17 ± 0.50 / 39.75 ± 0.66,70.38 ± 0.54 / 77.68 ± 0.41,54.47 ± 3.34 / 76.81 ± 2.14,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.41,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,59.32 ± 1.62 / 56.59 ± 1.36,60.22 ± 1.17 / 60.22 ± 1.17,18.81 ± 2.44 / 58.89 ± 1.22,62.12 ± 0.71 / 39.33 ± 0.87,30.70 ± 0.56 / 35.64 ± 0.67,70.06 ± 1.52 / 76.95 ± 1.22,23.14 ± 1.66 / 61.35 ± 0.84,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.15.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.42,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,57.28 ± 2.45 / 62.55 ± 1.89,71.78 ± 1.42 / 71.78 ± 1.42,23.07 ± 1.88 / 60.40 ± 1.01,69.90 ± 0.79 / 45.90 ± 0.81,34.31 ± 0.18 / 39.11 ± 0.17,45.53 ± 1.51 / 58.71 ± 1.11,8.15 ± 3.47 / 54.92 ± 1.50,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.42,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,70.99 ± 2.49 / 65.07 ± 2.27,67.03 ± 1.54 / 67.03 ± 1.54,0.00 ± 0.00 / 33.74 ± 0.46,71.06 ± 0.78 / 50.81 ± 0.90,32.12 ± 0.26 / 37.90 ± 0.30,57.09 ± 1.36 / 67.66 ± 1.00,20.60 ± 1.20 / 60.70 ± 0.61,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.44,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,52.23 ± 1.64 / 61.07 ± 0.90,68.67 ± 2.69 / 68.67 ± 2.69,0.00 ± 0.00 / 33.36 ± 0.27,52.05 ± 10.95 / 28.93 ± 9.71,38.58 ± 0.16 / 42.34 ± 0.21,53.73 ± 0.85 / 65.10 ± 0.65,31.65 ± 1.62 / 65.82 ± 0.81,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.45,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,74.43 ± 4.61 / 58.68 ± 1.65,62.07 ± 2.51 / 62.07 ± 2.51,12.66 ± 4.07 / 55.43 ± 2.29,70.79 ± 1.90 / 48.60 ± 2.48,35.22 ± 0.19 / 39.78 ± 0.22,26.92 ± 3.20 / 45.08 ± 2.42,13.77 ± 6.59 / 63.91 ± 2.93,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.45,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,51.19 ± 2.01 / 60.46 ± 1.08,62.46 ± 1.90 / 62.46 ± 1.90,23.39 ± 1.62 / 61.54 ± 0.84,77.23 ± 0.39 / 57.90 ± 0.84,34.51 ± 0.81 / 37.00 ± 1.09,39.48 ± 0.63 / 54.65 ± 0.45,15.16 ± 1.40 / 57.35 ± 0.71,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.45,?,?,?,✓,✗,(✓),✓,49.63 ± 1.65 / 58.12 ± 1.24,52.49 ± 1.74 / 52.49 ± 1.74,45.23 ± 1.64 / 71.60 ± 1.22,68.90 ± 1.12 / 45.90 ± 1.36,33.49 ± 0.22 / 38.15 ± 0.26,45.82 ± 0.69 / 58.86 ± 0.53,17.26 ± 1.85 / 58.41 ± 1.00,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.46,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,67.07 ± 1.98 / 61.43 ± 1.86,66.44 ± 1.46 / 66.44 ± 1.46,0.00 ± 0.00 / 33.36 ± 0.27,54.98 ± 3.07 / 35.17 ± 2.79,36.34 ± 2.22 / 38.64 ± 2.79,48.08 ± 0.84 / 60.96 ± 0.67,25.61 ± 2.24 / 62.55 ± 1.02,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.46,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,51.77 ± 1.63 / 60.16 ± 0.94,62.63 ± 1.73 / 62.63 ± 1.73,24.45 ± 1.16 / 62.06 ± 0.60,75.98 ± 0.49 / 54.13 ± 1.39,33.94 ± 1.15 / 36.58 ± 1.48,40.33 ± 0.92 / 55.27 ± 0.70,18.60 ± 1.96 / 59.19 ± 0.95,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.47,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,75.72 ± 2.17 / 59.53 ± 1.35,74.81 ± 1.64 / 74.81 ± 1.64,0.00 ± 0.00 / 32.87 ± 0.49,72.54 ± 0.74 / 51.29 ± 1.43,31.40 ± 0.91 / 33.81 ± 1.19,46.37 ± 1.47 / 59.22 ± 1.20,5.28 ± 4.43 / 56.88 ± 1.96,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.48,?,?,400000.0,✓,✗,✗,✓,68.06 ± 1.73 / 57.11 ± 1.07,62.92 ± 0.74 / 62.92 ± 0.74,20.20 ± 2.15 / 55.19 ± 1.13,65.19 ± 0.66 / 34.51 ± 1.05,31.63 ± 0.14 / 38.13 ± 0.17,50.67 ± 0.73 / 62.85 ± 0.56,11.70 ± 3.75 / 53.75 ± 1.86,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.49,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,46.00 ± 1.47 / 59.32 ± 0.74,65.04 ± 1.79 / 65.04 ± 1.79,5.18 ± 2.08 / 34.16 ± 0.60,70.22 ± 1.62 / 42.44 ± 2.86,39.00 ± 0.14 / 43.62 ± 0.24,44.31 ± 0.99 / 58.05 ± 0.78,22.22 ± 1.98 / 61.12 ± 0.99,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.49,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,75.19 ± 4.32 / 59.87 ± 3.01,61.69 ± 2.58 / 61.69 ± 2.58,8.45 ± 5.82 / 52.45 ± 3.08,69.74 ± 1.99 / 47.55 ± 2.48,35.27 ± 0.24 / 39.93 ± 0.30,25.46 ± 2.27 / 44.02 ± 1.75,14.48 ± 7.26 / 64.77 ± 2.25,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.53,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,55.23 ± 2.70 / 60.07 ± 1.40,66.48 ± 2.46 / 66.48 ± 2.46,7.09 ± 3.75 / 37.58 ± 2.61,68.07 ± 1.41 / 51.30 ± 1.37,38.06 ± 0.87 / 40.88 ± 1.12,35.86 ± 0.76 / 51.61 ± 0.65,13.23 ± 3.04 / 56.49 ± 1.57,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.14.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.53,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,58.65 ± 1.84 / 60.08 ± 1.33,63.74 ± 1.55 / 63.74 ± 1.55,0.00 ± 0.00 / 32.87 ± 0.49,67.74 ± 0.82 / 38.47 ± 1.52,35.00 ± 0.20 / 39.31 ± 0.28,50.89 ± 1.07 / 63.01 ± 0.86,15.93 ± 4.48 / 57.27 ± 2.19,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
