<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.36,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,2.21,2.85,2.02
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.38,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.30,2.62,2.22
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.42,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,2.38,2.45,2.42
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.44,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,2.43,2.69,2.19
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.44,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.47,2.62,2.23
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.44,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.42,2.58,2.33
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.47,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.44,2.61,2.36
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.51,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,2.40,2.75,2.39
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,2.59,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,2.44,2.41,2.92
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.60,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.54,2.73,2.53
<a href='https://hf.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,🔍,2.60,124548012.0,50005.0,514.0,✓,✗,(✓),✓,2.23,2.80,2.78
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.64,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,2.68,2.84,2.39
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.65,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,2.58,2.84,2.53
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.65,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.64,2.77,2.53
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.65,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,2.65,2.72,2.58
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,2.66,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,2.66,2.86,2.47
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.70,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,2.49,2.94,2.68
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview</a>,📝,2.71,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,2.82,2.58,2.74
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,🔍,2.72,21944195.0,96105.0,128.0,✓,✗,(✓),✗,2.79,2.79,2.58
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.74,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.73,2.90,2.61
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,2.78,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,2.69,3.01,2.65
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.78,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,2.68,2.94,2.71
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,2.78,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,2.86,2.80,2.68
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.81,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,3.12,2.24,3.07
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,2.83,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,2.76,3.13,2.61
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.87,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,2.77,3.06,2.78
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.90,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,2.87,2.96,2.87
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,2.90,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,3.06,3.00,2.64
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (val)</a>,📝,2.91,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,2.81,3.12,2.81
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.00,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,2.94,3.16,2.89
<a href='https://hf.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,🔍,3.06,124697947.0,50265.0,514.0,✓,✗,(✓),✗,3.05,3.12,3.01
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.06,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,3.07,3.17,2.94
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.07,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.16,3.24,2.82
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.08,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,3.04,3.32,2.89
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.09,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,3.09,3.27,2.91
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.11,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,3.27,3.02,3.05
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.12,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.17,3.21,2.97
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct</a>,📝,3.14,20918423552.0,64000.0,2048.0,✓,✗,(✓),✗,3.29,2.95,3.17
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.19,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,3.35,3.34,2.88
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.24,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.21,3.42,3.11
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.25,751632384.0,151936.0,40960.0,✓,✗,✗,✓,3.30,3.52,2.93
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,3.26,22007401.0,96105.0,128.0,✓,✗,(✓),✗,3.00,3.44,3.35
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.27,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,3.33,3.33,3.16
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.27,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.31,3.57,2.92
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.34,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.31,3.15,3.56
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,3.39,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,3.60,3.40,3.17
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.42,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,3.23,3.39,3.63
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.43,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,3.33,3.58,3.36
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.46,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,3.66,3.38,3.35
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.46,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,3.57,3.62,3.19
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.49,93990500.0,65636.0,512.0,✓,✗,(✓),✓,3.51,3.61,3.35
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,3.50,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,3.69,3.50,3.31
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.51,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,3.76,3.39,3.37
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.55,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,3.66,3.63,3.36
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.57,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.42,3.84,3.45
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.65,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.61,3.79,3.56
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.73,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,3.86,3.82,3.49
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.76,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.73,3.92,3.62
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.78,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,3.90,3.62,3.82
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.83,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.77,3.96,3.77
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.85,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.84,3.95,3.76
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.86,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,3.83,3.92,3.83
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,3.87,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.80,4.23,3.57
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.88,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.90,3.98,3.77
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,3.89,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,3.90,3.97,3.80
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.93,?,103424.0,131072.0,✓,✗,(✓),✗,3.97,3.95,3.88
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,3.96,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,4.00,4.04,3.83
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.03,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.02,4.08,3.99
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.05,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.12,4.21,3.83
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,4.06,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,4.05,4.02,4.11
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.07,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,3.96,4.10,4.14
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.10,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,4.17,4.13,3.98
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.12,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,4.16,4.20,3.99
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.15,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.12,4.23,4.10
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.15,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.18,4.12,4.15
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.16,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.17,4.12,4.19
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.18,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.21,4.26,4.07
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.28,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,4.28,4.28,4.27
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.34,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,4.30,4.48,4.25
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.36,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,4.30,4.49,4.30
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.39,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.35,4.40,4.43
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-,559890946.0,250002.0,512.0,✓,✗,(✓),✗,-,-,1.93
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,-,11102822400.0,65024.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (zero-shot)</a>,📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (zero-shot, val)</a>",📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (val)</a>,📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small (zero-shot)</a>,📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,-,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (zero-shot, val)</a>",📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,-,?,65024.0,?,✓,✗,(✓),✗,-,3.05,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (val)</a>,📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro (zero-shot)</a>,📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,-,?,128000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,-,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (val)</a>,📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512 (zero-shot)</a>,📝,-,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,2.29,-,-
<a href='https://hf.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k</a>,📝,-,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,-,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,-,3.59,-
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512 (val)</a>,📝,-,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,-,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,-,2.67,-
<a href='https://hf.co/ltg/norbert3-base'>ltg/norbert3-base</a>,🔍,-,124032771.0,50000.0,512.0,✓,✗,(✓),✗,-,1.65,-
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-,2.67,-
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,-,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,-,2.51,-
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,-,8170848256.0,49155.0,4096.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512 (zero-shot, val)</a>",📝,-,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-,2.41,-
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct (val)</a>,📝,-,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,-,8170835968.0,49152.0,4096.0,✓,✗,(✓),✗,-,2.69,-
<a href='https://hf.co/ltg/norbert2'>ltg/norbert2</a>,🔍,-,125165498.0,50104.0,512.0,✓,✗,(✓),✗,-,1.72,-
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,-,3.51,-
"<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny (zero-shot, val)</a>",📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,-,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ltg/norbert3-xs'>ltg/norbert3-xs</a>,🔍,-,14972355.0,50000.0,512.0,✓,✗,(✓),✗,-,2.34,-
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-,278044162.0,250002.0,512.0,✓,✗,(✓),✗,-,-,2.17
<a href='https://hf.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct</a>,📝,-,7771262976.0,96640.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ltg/norbert'>ltg/norbert</a>,🔍,-,111952540.0,32922.0,512.0,✓,✗,(✓),✗,-,4.50,-
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct</a>,📝,-,3374295552.0,49155.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base</a>,📝,-,7771263040.0,96640.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,-,123994448.0,50000.0,512.0,✓,✗,(✓),✗,-,4.37,-
<a href='https://hf.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,-,354290512.0,50000.0,512.0,✓,✗,(✓),✗,-,3.75,-
<a href='https://hf.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct</a>,📝,-,1905650880.0,96640.0,4096.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,-,40641104.0,50000.0,512.0,✓,✗,(✓),✗,-,4.49,-
<a href='https://hf.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base</a>,📝,-,1905650960.0,96640.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,-,15000272.0,50000.0,512.0,✓,✗,(✓),✗,-,4.23,-
<a href='https://hf.co/timpal0l/BeagleCatMunin2'>timpal0l/BeagleCatMunin2 (val)</a>,🧠,-,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k</a>,📝,-,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-8b-code-base'>ibm-granite/granite-8b-code-base</a>,🧠,-,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k</a>,🧠,-,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ltg/norbert3-small'>ltg/norbert3-small</a>,🔍,-,40635267.0,50000.0,512.0,✓,✗,(✓),✗,-,1.97,-
<a href='https://hf.co/ibm-granite/granite-7b-instruct'>ibm-granite/granite-7b-instruct</a>,📝,-,6738481152.0,32008.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/timpal0l/BeagleCatMunin'>timpal0l/BeagleCatMunin (val)</a>,🧠,-,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-7b-base'>ibm-granite/granite-7b-base</a>,🧠,-,6738415616.0,32000.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (zero-shot)</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (val)</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-,-,-
"<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (zero-shot, val)</a>",📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro (val)</a>,📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,-,-,-
