<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.12,?,?,1047576.0,✓,✗,✗,✓,50.93 ± 2.10 / 66.46 ± 1.38,35.70 ± 1.50 / 19.65 ± 0.93,37.06 ± 3.06 / 67.34 ± 1.55,61.82 ± 1.29 / 33.04 ± 1.66,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.15,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,45.45 ± 2.12 / 63.18 ± 1.80,47.57 ± 1.44 / 29.61 ± 1.47,29.03 ± 1.58 / 63.65 ± 1.08,64.73 ± 1.72 / 42.75 ± 1.98,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,2.16,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,48.11 ± 1.37 / 62.40 ± 1.04,67.52 ± 1.26 / 53.94 ± 2.66,18.27 ± 1.93 / 50.63 ± 1.14,52.13 ± 1.01 / 31.83 ± 1.46,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.17,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,46.30 ± 1.86 / 64.32 ± 1.45,38.27 ± 0.99 / 18.49 ± 0.90,34.90 ± 2.18 / 65.46 ± 2.49,64.43 ± 1.39 / 41.49 ± 1.30,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.18,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,45.03 ± 1.85 / 63.30 ± 1.93,54.10 ± 1.39 / 39.22 ± 3.92,23.64 ± 1.49 / 59.74 ± 1.13,64.64 ± 2.08 / 45.32 ± 2.19,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.22,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,34.29 ± 5.25 / 47.72 ± 6.81,50.41 ± 1.45 / 34.36 ± 1.52,26.75 ± 3.79 / 59.70 ± 3.89,70.61 ± 1.69 / 52.97 ± 2.24,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.23,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,39.14 ± 1.31 / 59.37 ± 1.02,54.50 ± 1.88 / 45.19 ± 2.32,23.41 ± 2.77 / 58.29 ± 1.91,66.30 ± 2.18 / 46.25 ± 2.44,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.24,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,47.99 ± 1.58 / 65.09 ± 1.34,47.63 ± 1.25 / 31.53 ± 1.84,21.06 ± 2.18 / 51.31 ± 2.80,65.38 ± 1.74 / 44.73 ± 2.26,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.25,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,49.59 ± 1.17 / 65.35 ± 1.17,44.20 ± 1.31 / 28.85 ± 1.54,38.00 ± 2.18 / 64.74 ± 2.37,40.70 ± 1.48 / 24.21 ± 1.46,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.26,470927360.0,501153.0,512.0,✓,✗,(✓),✗,41.90 ± 2.16 / 57.69 ± 2.55,80.08 ± 1.11 / 75.69 ± 0.96,20.23 ± 9.38 / 59.64 ± 4.70,29.49 ± 1.43 / 21.99 ± 1.44,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.26,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,26.88 ± 1.66 / 37.94 ± 1.68,60.55 ± 2.23 / 53.16 ± 1.94,26.67 ± 1.34 / 58.32 ± 1.37,68.56 ± 1.82 / 49.57 ± 1.75,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.28,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,47.89 ± 1.88 / 63.78 ± 1.15,50.44 ± 3.17 / 44.52 ± 2.71,34.25 ± 1.79 / 65.99 ± 1.02,39.13 ± 0.57 / 29.36 ± 0.61,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.28,?,256128.0,1048576.0,✓,✗,✗,✓,48.02 ± 2.39 / 65.07 ± 1.59,36.78 ± 2.23 / 20.18 ± 1.75,33.37 ± 3.81 / 63.09 ± 2.22,59.17 ± 1.08 / 37.13 ± 1.35,16.3.0.dev0,16.2.2.dev0,16.3.0.dev0,16.2.2.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.29,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,49.19 ± 1.56 / 66.25 ± 1.08,53.35 ± 1.65 / 36.32 ± 1.72,35.66 ± 1.60 / 61.81 ± 1.42,30.53 ± 1.30 / 0.43 ± 0.14,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.30,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,45.67 ± 1.02 / 64.34 ± 0.67,47.37 ± 1.45 / 30.43 ± 1.91,23.05 ± 1.32 / 59.63 ± 1.23,60.44 ± 1.34 / 35.29 ± 1.95,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.30,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,44.99 ± 1.73 / 63.01 ± 1.38,53.11 ± 1.78 / 45.90 ± 1.59,31.87 ± 1.31 / 65.30 ± 0.76,37.88 ± 1.42 / 0.02 ± 0.04,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.30,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,44.80 ± 1.70 / 64.02 ± 1.16,50.30 ± 1.89 / 37.85 ± 1.68,16.72 ± 1.93 / 57.00 ± 0.84,64.86 ± 1.11 / 39.30 ± 1.42,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.31,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,45.19 ± 2.20 / 63.43 ± 1.56,55.69 ± 2.87 / 40.55 ± 4.25,21.64 ± 1.35 / 54.51 ± 0.90,52.34 ± 1.03 / 25.62 ± 1.53,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.31,?,?,200000.0,✓,✗,✗,✓,45.05 ± 2.43 / 60.32 ± 1.57,40.02 ± 1.98 / 22.54 ± 1.41,26.62 ± 2.24 / 58.38 ± 1.81,64.73 ± 1.07 / 39.14 ± 2.03,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.31,?,?,200000.0,✓,✗,✗,✓,49.13 ± 2.93 / 66.38 ± 2.00,29.91 ± 1.62 / 15.36 ± 1.05,33.10 ± 3.23 / 65.94 ± 1.64,62.07 ± 0.96 / 32.04 ± 1.86,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,2.34,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,43.49 ± 1.53 / 62.01 ± 1.19,43.31 ± 1.87 / 27.05 ± 2.06,24.78 ± 0.90 / 62.00 ± 0.62,62.70 ± 1.26 / 41.30 ± 1.39,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.34,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,43.49 ± 1.53 / 62.01 ± 1.19,43.31 ± 1.87 / 27.05 ± 2.06,24.78 ± 0.90 / 62.00 ± 0.62,62.70 ± 1.26 / 41.30 ± 1.39,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.34,561192082.0,250002.0,512.0,✓,✗,(✓),✓,33.01 ± 11.49 / 50.31 ± 11.28,79.69 ± 1.45 / 74.23 ± 1.14,21.94 ± 11.99 / 56.73 ± 8.89,32.80 ± 1.75 / 24.16 ± 1.55,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.36,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,38.85 ± 2.82 / 56.88 ± 2.60,43.39 ± 1.61 / 25.18 ± 1.05,25.12 ± 2.56 / 61.42 ± 1.36,63.77 ± 1.47 / 42.62 ± 1.77,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.37,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,44.65 ± 1.90 / 62.95 ± 1.32,40.95 ± 1.83 / 22.67 ± 1.16,22.64 ± 1.37 / 58.30 ± 1.40,63.08 ± 1.92 / 41.99 ± 1.81,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.38,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,35.18 ± 1.26 / 41.53 ± 0.77,48.33 ± 1.66 / 36.44 ± 3.36,22.24 ± 4.49 / 56.86 ± 5.62,66.90 ± 1.86 / 47.50 ± 2.50,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.40,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,43.46 ± 1.77 / 62.43 ± 1.09,49.05 ± 1.93 / 34.08 ± 1.38,11.78 ± 2.10 / 54.76 ± 1.20,65.20 ± 2.39 / 45.49 ± 3.18,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.40,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,45.04 ± 2.09 / 59.17 ± 2.86,59.03 ± 1.90 / 51.83 ± 1.63,0.00 ± 0.00 / 33.36 ± 0.27,73.01 ± 3.01 / 53.94 ± 3.56,16.5.0.dev0,15.16.0.dev0,16.5.0.dev0,15.16.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.41,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,51.26 ± 2.02 / 67.17 ± 1.45,44.05 ± 2.76 / 38.54 ± 2.49,18.66 ± 1.63 / 58.30 ± 0.79,52.49 ± 1.04 / 31.27 ± 1.25,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.43,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,43.94 ± 2.84 / 62.75 ± 2.14,42.56 ± 3.70 / 23.98 ± 3.15,14.58 ± 4.62 / 42.99 ± 2.13,62.10 ± 1.95 / 40.48 ± 2.24,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.47,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,40.60 ± 1.42 / 60.55 ± 1.11,38.12 ± 1.44 / 19.69 ± 1.35,22.09 ± 2.18 / 60.54 ± 1.32,63.27 ± 1.70 / 40.78 ± 2.15,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.50,?,?,1047576.0,✓,✗,✗,✓,43.84 ± 2.46 / 62.13 ± 1.77,31.95 ± 1.91 / 19.49 ± 1.03,28.53 ± 4.22 / 62.59 ± 2.18,51.01 ± 1.26 / 23.95 ± 1.29,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.50,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,42.46 ± 0.81 / 56.49 ± 1.06,38.24 ± 1.57 / 26.74 ± 1.90,15.94 ± 3.31 / 40.00 ± 2.17,65.12 ± 1.57 / 42.85 ± 2.26,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,2.51,?,256128.0,1048576.0,✓,✗,✗,✓,45.48 ± 3.35 / 60.71 ± 2.34,58.42 ± 3.64 / 35.98 ± 2.60,0.00 ± 0.00 / 33.74 ± 0.90,62.69 ± 1.36 / 37.20 ± 1.13,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.51,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,32.03 ± 3.50 / 52.06 ± 2.92,67.47 ± 1.78 / 62.22 ± 2.12,23.09 ± 3.97 / 59.65 ± 3.14,30.64 ± 1.35 / 22.03 ± 1.36,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.52,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,32.76 ± 1.31 / 55.13 ± 1.03,53.59 ± 2.13 / 31.52 ± 1.80,15.73 ± 1.77 / 56.37 ± 1.02,58.09 ± 0.97 / 37.09 ± 1.28,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.52,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,45.57 ± 1.06 / 63.89 ± 0.73,38.71 ± 1.14 / 21.16 ± 0.84,18.73 ± 2.56 / 58.38 ± 1.16,59.15 ± 1.50 / 37.63 ± 1.36,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.54,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,43.15 ± 2.55 / 62.14 ± 1.98,41.24 ± 4.15 / 22.46 ± 3.32,12.00 ± 2.91 / 39.67 ± 1.30,60.86 ± 1.76 / 40.12 ± 1.88,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.56,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,40.37 ± 1.39 / 58.12 ± 1.11,39.39 ± 1.80 / 23.03 ± 1.61,13.22 ± 0.83 / 53.71 ± 1.55,65.85 ± 1.03 / 45.61 ± 1.34,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.57,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,35.34 ± 3.56 / 57.68 ± 2.97,41.63 ± 1.74 / 20.32 ± 1.32,14.64 ± 4.00 / 52.43 ± 4.24,61.58 ± 0.90 / 36.80 ± 1.95,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.58,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,41.92 ± 2.13 / 62.55 ± 1.46,59.61 ± 1.71 / 42.83 ± 2.13,3.83 ± 2.76 / 37.51 ± 1.27,45.07 ± 0.74 / 20.91 ± 0.91,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.61,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,38.74 ± 1.27 / 56.98 ± 1.25,38.67 ± 1.28 / 26.19 ± 1.70,19.64 ± 2.20 / 59.35 ± 1.16,55.27 ± 1.04 / 31.78 ± 1.36,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.62,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,33.13 ± 1.59 / 52.81 ± 1.84,48.82 ± 1.91 / 35.47 ± 2.82,9.60 ± 2.07 / 50.87 ± 1.66,64.77 ± 1.41 / 47.86 ± 1.92,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.63,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,41.36 ± 1.64 / 60.94 ± 1.21,38.46 ± 1.37 / 21.27 ± 1.21,14.34 ± 3.93 / 40.21 ± 3.09,62.15 ± 1.28 / 39.92 ± 2.25,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.63,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,36.26 ± 1.68 / 56.41 ± 1.25,57.72 ± 1.82 / 49.09 ± 2.31,4.37 ± 2.97 / 37.81 ± 1.20,53.44 ± 1.29 / 34.26 ± 1.27,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.64,559890946.0,250002.0,512.0,✓,✗,(✓),✗,46.98 ± 3.70 / 63.05 ± 3.66,66.48 ± 3.94 / 63.28 ± 3.27,3.45 ± 2.07 / 50.16 ± 1.92,32.38 ± 1.55 / 22.97 ± 1.79,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.65,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,42.86 ± 2.00 / 62.06 ± 1.42,43.73 ± 1.77 / 24.09 ± 1.89,16.91 ± 1.88 / 55.07 ± 1.37,39.45 ± 11.74 / 17.68 ± 9.65,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.65,?,?,?,✓,✗,(✓),✓,35.95 ± 3.72 / 56.61 ± 3.23,38.19 ± 1.55 / 21.61 ± 1.12,17.63 ± 1.96 / 56.36 ± 2.07,59.41 ± 1.58 / 38.33 ± 1.56,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.65,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,19.12 ± 1.78 / 30.63 ± 1.51,65.38 ± 2.12 / 54.15 ± 2.30,0.00 ± 0.00 / 32.87 ± 0.49,73.45 ± 1.23 / 52.78 ± 1.57,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.68,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,30.48 ± 1.85 / 51.68 ± 1.32,46.86 ± 2.06 / 29.01 ± 2.34,10.19 ± 1.56 / 46.32 ± 3.58,66.24 ± 2.29 / 47.53 ± 2.51,16.5.0.dev0,16.1.1.dev0,16.5.0.dev0,16.1.1.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.68,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,40.30 ± 2.26 / 59.67 ± 1.57,48.90 ± 0.80 / 28.60 ± 1.12,10.68 ± 2.93 / 43.68 ± 1.11,41.59 ± 1.08 / 17.49 ± 0.77,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.68,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,40.34 ± 1.04 / 61.06 ± 0.63,40.45 ± 1.69 / 20.31 ± 0.84,14.20 ± 1.63 / 56.23 ± 1.02,54.67 ± 1.21 / 29.51 ± 1.47,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.68,278810882.0,251000.0,512.0,✓,✗,(✓),✓,21.05 ± 8.48 / 38.01 ± 7.15,67.32 ± 3.34 / 64.47 ± 2.82,33.28 ± 9.58 / 62.94 ± 6.56,15.28 ± 1.95 / 9.86 ± 1.30,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.69,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,40.02 ± 3.85 / 60.68 ± 2.47,41.61 ± 2.49 / 27.26 ± 2.40,4.87 ± 2.83 / 34.07 ± 1.14,62.26 ± 1.72 / 37.18 ± 2.89,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.69,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,39.37 ± 1.13 / 59.51 ± 0.83,44.20 ± 1.64 / 35.10 ± 2.37,12.59 ± 1.36 / 49.65 ± 2.00,50.02 ± 2.21 / 31.52 ± 2.73,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.69,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,32.87 ± 1.89 / 56.47 ± 1.27,49.76 ± 1.75 / 34.13 ± 2.52,12.83 ± 2.47 / 54.65 ± 1.31,52.32 ± 0.94 / 34.66 ± 0.92,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.70,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,28.24 ± 5.06 / 36.51 ± 4.30,61.86 ± 1.24 / 40.88 ± 1.86,0.00 ± 0.00 / 33.30 ± 0.27,62.69 ± 1.77 / 42.65 ± 1.97,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.72,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,26.00 ± 1.81 / 47.74 ± 2.86,65.46 ± 2.50 / 61.48 ± 2.35,21.53 ± 5.32 / 60.32 ± 2.55,23.87 ± 1.24 / 16.08 ± 1.20,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.72,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,29.77 ± 1.87 / 51.52 ± 1.45,46.83 ± 1.67 / 34.14 ± 2.54,9.34 ± 2.23 / 47.25 ± 1.38,62.09 ± 3.29 / 40.64 ± 4.55,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.72,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,35.82 ± 1.94 / 57.21 ± 1.71,48.03 ± 2.69 / 34.87 ± 3.27,0.00 ± 0.00 / 33.36 ± 0.27,67.15 ± 3.88 / 48.91 ± 4.70,16.5.0.dev0,15.16.0.dev0,16.5.0.dev0,15.16.0.dev0
