<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.97,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,75.08 ± 2.23 / 87.41 ± 1.14,34.71 ± 2.51 / 27.07 ± 2.30,54.65 ± 2.60 / 76.55 ± 1.42,37.38 ± 1.27 / 24.72 ± 1.29,28.64 ± 0.47 / 29.72 ± 0.52,78.13 ± 1.09 / 83.48 ± 0.79,60.80 ± 2.72 / 81.72 ± 1.21,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,1.97,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,78.10 ± 2.02 / 88.31 ± 1.23,62.21 ± 0.93 / 49.34 ± 1.37,45.52 ± 2.27 / 71.18 ± 1.22,68.79 ± 0.89 / 46.87 ± 1.37,32.49 ± 0.31 / 33.62 ± 0.34,54.49 ± 1.56 / 65.82 ± 1.15,27.72 ± 2.26 / 64.77 ± 1.18,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.99,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,80.07 ± 1.44 / 89.46 ± 0.79,58.53 ± 1.14 / 49.83 ± 1.89,53.33 ± 2.40 / 76.20 ± 1.15,68.46 ± 0.87 / 42.22 ± 2.19,23.36 ± 0.14 / 23.29 ± 0.14,61.34 ± 1.08 / 71.02 ± 0.80,41.40 ± 2.61 / 70.68 ± 1.31,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.03,?,256128.0,1048576.0,✓,✗,✗,✓,74.64 ± 3.71 / 87.29 ± 1.86,52.71 ± 2.14 / 31.37 ± 1.42,50.38 ± 4.38 / 75.11 ± 2.21,64.16 ± 1.01 / 35.72 ± 1.14,30.06 ± 0.37 / 31.00 ± 0.41,58.53 ± 2.47 / 68.67 ± 1.84,33.29 ± 5.00 / 66.25 ± 2.56,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.15.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.04,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,75.74 ± 2.57 / 87.30 ± 1.46,64.53 ± 0.95 / 50.10 ± 1.84,37.00 ± 1.58 / 64.55 ± 1.94,73.21 ± 1.13 / 52.50 ± 1.55,32.63 ± 0.68 / 33.59 ± 0.76,52.39 ± 1.52 / 63.91 ± 1.24,23.31 ± 3.92 / 61.17 ± 1.63,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.08,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,71.68 ± 1.83 / 84.63 ± 1.07,65.28 ± 1.19 / 51.71 ± 2.13,47.23 ± 1.74 / 70.02 ± 1.80,66.45 ± 0.96 / 45.56 ± 1.20,32.23 ± 0.30 / 33.44 ± 0.33,47.02 ± 1.22 / 59.80 ± 0.98,14.34 ± 2.73 / 58.83 ± 1.07,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.10,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,84.00 ± 1.24 / 91.50 ± 0.71,60.68 ± 1.54 / 45.27 ± 2.68,25.95 ± 9.23 / 48.36 ± 7.17,73.15 ± 2.71 / 53.01 ± 2.70,28.98 ± 1.90 / 29.13 ± 1.99,50.20 ± 0.73 / 62.54 ± 0.56,37.24 ± 1.88 / 68.53 ± 0.88,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.11,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,71.51 ± 0.99 / 85.18 ± 0.46,64.30 ± 1.62 / 52.27 ± 1.35,32.37 ± 2.40 / 63.17 ± 1.56,60.55 ± 1.17 / 37.39 ± 1.00,31.33 ± 0.10 / 34.16 ± 0.13,64.68 ± 0.91 / 73.47 ± 0.68,28.74 ± 1.85 / 64.38 ± 0.92,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.12,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,78.65 ± 1.86 / 88.96 ± 0.94,58.63 ± 1.16 / 44.05 ± 2.25,57.12 ± 4.13 / 76.88 ± 3.18,42.01 ± 2.85 / 21.08 ± 2.05,32.15 ± 0.46 / 33.16 ± 0.52,43.72 ± 0.61 / 57.54 ± 0.52,27.35 ± 1.03 / 63.01 ± 0.56,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.12,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,79.41 ± 1.51 / 89.24 ± 0.83,63.42 ± 0.92 / 52.24 ± 2.47,47.68 ± 2.17 / 70.82 ± 1.42,36.99 ± 0.97 / 2.56 ± 0.96,23.14 ± 0.11 / 23.08 ± 0.11,63.60 ± 0.72 / 72.47 ± 0.55,42.85 ± 2.78 / 71.44 ± 1.40,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.17.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.17,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,81.30 ± 1.43 / 90.22 ± 0.76,67.79 ± 1.34 / 53.14 ± 2.53,43.58 ± 2.19 / 70.69 ± 1.73,37.95 ± 0.80 / 0.48 ± 0.12,23.04 ± 0.26 / 22.97 ± 0.26,58.77 ± 0.75 / 68.94 ± 0.59,38.59 ± 1.87 / 69.30 ± 0.93,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.19,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,76.74 ± 2.01 / 87.79 ± 1.12,69.70 ± 0.98 / 52.83 ± 2.37,40.89 ± 2.99 / 68.02 ± 2.36,60.25 ± 1.80 / 30.55 ± 2.12,30.21 ± 0.07 / 31.09 ± 0.07,37.72 ± 0.82 / 52.81 ± 0.61,20.19 ± 1.49 / 60.03 ± 0.75,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.19,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,76.71 ± 2.57 / 87.72 ± 1.40,51.18 ± 2.24 / 40.41 ± 1.74,45.36 ± 6.05 / 68.29 ± 5.43,69.32 ± 2.30 / 47.14 ± 2.04,30.99 ± 1.74 / 31.08 ± 1.86,37.97 ± 0.76 / 53.33 ± 0.53,21.90 ± 1.41 / 59.82 ± 0.85,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.21,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,78.75 ± 1.79 / 88.87 ± 1.02,59.71 ± 1.47 / 49.30 ± 2.23,35.80 ± 2.63 / 65.30 ± 1.88,70.12 ± 1.11 / 44.06 ± 2.28,23.25 ± 0.18 / 23.18 ± 0.18,49.31 ± 0.68 / 61.88 ± 0.52,30.75 ± 1.30 / 65.16 ± 0.63,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.22,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,71.56 ± 0.95 / 85.65 ± 0.49,52.21 ± 6.30 / 34.24 ± 5.14,24.57 ± 3.89 / 55.93 ± 2.30,64.82 ± 1.65 / 43.37 ± 1.68,25.35 ± 2.41 / 26.32 ± 2.47,61.79 ± 0.86 / 71.38 ± 0.66,43.96 ± 1.79 / 71.95 ± 0.91,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.16.1.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.23,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,67.88 ± 2.49 / 81.50 ± 1.85,68.70 ± 0.94 / 54.46 ± 2.02,47.49 ± 1.19 / 72.53 ± 0.82,73.81 ± 0.94 / 52.72 ± 1.07,16.81 ± 3.50 / 17.37 ± 3.63,50.65 ± 0.86 / 62.58 ± 0.63,26.67 ± 2.05 / 64.30 ± 1.34,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.24,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,70.65 ± 1.32 / 84.28 ± 0.73,63.75 ± 1.23 / 51.19 ± 1.52,29.36 ± 3.52 / 57.79 ± 1.83,58.01 ± 1.36 / 33.52 ± 1.42,31.41 ± 0.10 / 34.28 ± 0.12,51.02 ± 1.44 / 63.30 ± 1.07,23.47 ± 1.84 / 61.75 ± 0.95,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.24,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,72.91 ± 1.99 / 86.37 ± 1.00,63.79 ± 1.02 / 51.22 ± 2.69,32.68 ± 2.10 / 63.10 ± 1.33,62.58 ± 0.30 / 33.07 ± 0.63,29.65 ± 0.23 / 30.62 ± 0.25,39.83 ± 1.38 / 54.77 ± 1.04,28.28 ± 2.86 / 64.14 ± 1.47,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.25,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,59.20 ± 5.46 / 78.10 ± 3.36,64.18 ± 1.17 / 51.62 ± 1.94,44.84 ± 1.62 / 67.88 ± 1.21,72.82 ± 0.76 / 48.54 ± 1.23,28.89 ± 0.57 / 29.28 ± 0.64,45.55 ± 2.18 / 58.83 ± 1.66,8.74 ± 3.43 / 49.61 ± 1.90,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.26,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,80.73 ± 1.77 / 90.09 ± 0.95,57.77 ± 1.61 / 47.28 ± 2.07,43.71 ± 3.89 / 71.21 ± 2.04,35.29 ± 0.77 / 0.32 ± 0.10,23.74 ± 0.36 / 23.68 ± 0.36,58.43 ± 0.62 / 68.73 ± 0.49,35.26 ± 1.75 / 67.64 ± 0.87,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.29,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,77.16 ± 1.96 / 87.75 ± 1.24,57.84 ± 0.98 / 39.04 ± 1.76,29.69 ± 2.69 / 62.01 ± 2.76,61.01 ± 2.76 / 38.15 ± 1.85,31.58 ± 0.11 / 32.60 ± 0.12,37.53 ± 1.04 / 50.91 ± 0.85,26.11 ± 1.95 / 62.90 ± 0.99,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,17.0.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.33,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,62.81 ± 3.12 / 80.67 ± 1.67,38.09 ± 2.41 / 30.26 ± 1.62,38.02 ± 2.08 / 63.13 ± 1.51,37.33 ± 1.33 / 26.23 ± 1.10,23.94 ± 0.52 / 24.71 ± 0.53,74.72 ± 1.69 / 80.74 ± 1.30,49.90 ± 3.79 / 76.64 ± 1.82,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.36,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,61.19 ± 2.21 / 80.50 ± 1.13,64.46 ± 0.96 / 51.38 ± 1.43,18.44 ± 2.63 / 48.06 ± 1.50,55.18 ± 0.65 / 36.41 ± 0.95,29.90 ± 0.16 / 33.64 ± 0.14,63.08 ± 1.41 / 72.23 ± 1.05,19.74 ± 4.37 / 59.14 ± 1.97,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.36,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,63.11 ± 12.77 / 80.65 ± 7.43,59.85 ± 2.96 / 48.61 ± 2.74,46.28 ± 3.00 / 71.77 ± 1.39,37.87 ± 1.39 / 22.77 ± 1.26,22.70 ± 0.38 / 22.66 ± 0.39,57.43 ± 3.17 / 67.58 ± 2.38,32.17 ± 4.24 / 66.80 ± 1.83,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.40,?,?,400000.0,✓,✗,✗,✓,70.15 ± 1.50 / 84.99 ± 0.75,46.26 ± 0.99 / 27.72 ± 0.51,30.76 ± 1.31 / 61.09 ± 0.78,60.54 ± 0.64 / 29.04 ± 0.70,31.34 ± 0.10 / 34.12 ± 0.13,45.85 ± 1.79 / 59.22 ± 1.34,18.84 ± 2.37 / 54.22 ± 1.10,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.40,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,64.44 ± 2.87 / 81.86 ± 1.51,64.11 ± 1.71 / 49.90 ± 2.31,23.41 ± 3.09 / 61.11 ± 1.57,70.17 ± 1.11 / 45.45 ± 1.27,23.61 ± 1.27 / 23.95 ± 1.30,46.42 ± 2.79 / 59.88 ± 2.09,21.19 ± 3.88 / 59.14 ± 2.14,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.43,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,71.66 ± 3.23 / 85.53 ± 1.81,51.63 ± 1.42 / 41.84 ± 1.55,31.54 ± 3.68 / 58.05 ± 3.71,67.58 ± 1.11 / 43.40 ± 1.51,30.74 ± 0.20 / 31.71 ± 0.22,29.59 ± 2.72 / 46.60 ± 2.14,10.25 ± 5.44 / 54.61 ± 2.82,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.43,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,75.84 ± 2.02 / 87.07 ± 1.19,54.01 ± 1.39 / 39.76 ± 0.95,32.45 ± 2.40 / 63.65 ± 1.37,65.68 ± 1.60 / 43.06 ± 1.95,23.32 ± 0.16 / 23.26 ± 0.16,39.91 ± 0.82 / 54.66 ± 0.62,22.77 ± 1.85 / 61.34 ± 0.88,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.47,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,63.05 ± 2.74 / 81.42 ± 1.38,63.21 ± 1.14 / 47.83 ± 1.38,15.68 ± 2.40 / 43.95 ± 1.55,51.53 ± 0.51 / 33.41 ± 0.54,27.47 ± 0.25 / 30.99 ± 0.29,58.62 ± 1.99 / 68.87 ± 1.47,19.43 ± 2.94 / 58.83 ± 1.50,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.48,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,69.60 ± 2.99 / 84.69 ± 1.51,34.59 ± 2.07 / 29.08 ± 1.27,24.64 ± 2.21 / 55.69 ± 1.57,54.70 ± 0.88 / 34.87 ± 1.39,27.05 ± 0.26 / 30.47 ± 0.34,68.91 ± 1.33 / 76.68 ± 0.99,21.93 ± 2.88 / 62.81 ± 1.21,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.49,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,77.22 ± 1.52 / 88.14 ± 0.80,58.53 ± 1.14 / 45.14 ± 3.04,31.09 ± 2.56 / 64.55 ± 1.35,35.62 ± 0.83 / 0.26 ± 0.11,22.52 ± 0.11 / 22.45 ± 0.11,48.15 ± 1.08 / 61.06 ± 0.83,29.76 ± 2.47 / 64.90 ± 1.24,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.50,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,74.18 ± 2.21 / 85.42 ± 1.42,41.94 ± 2.19 / 33.73 ± 2.37,27.08 ± 4.74 / 60.89 ± 5.60,68.10 ± 2.04 / 48.24 ± 1.78,30.94 ± 1.59 / 31.46 ± 1.72,28.94 ± 1.03 / 46.85 ± 0.80,11.76 ± 2.12 / 54.79 ± 1.10,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.51,?,?,?,✓,✗,(✓),✓,69.58 ± 2.27 / 84.52 ± 1.07,44.24 ± 2.36 / 35.58 ± 1.61,32.06 ± 4.08 / 65.08 ± 2.61,56.95 ± 1.32 / 30.10 ± 1.63,28.88 ± 0.14 / 29.85 ± 0.15,37.01 ± 0.65 / 51.82 ± 0.50,18.24 ± 1.85 / 58.70 ± 0.92,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.55,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,66.73 ± 6.28 / 82.01 ± 3.74,54.71 ± 1.13 / 41.76 ± 1.89,12.16 ± 2.55 / 37.96 ± 0.96,71.91 ± 1.47 / 51.04 ± 1.43,30.70 ± 0.35 / 31.78 ± 0.37,37.42 ± 1.72 / 52.38 ± 1.35,4.70 ± 3.47 / 55.08 ± 1.68,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.55,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,57.78 ± 8.59 / 77.39 ± 5.12,54.06 ± 2.08 / 42.07 ± 3.26,21.08 ± 5.32 / 51.82 ± 4.92,72.93 ± 2.24 / 51.66 ± 1.66,31.18 ± 1.40 / 31.83 ± 1.42,24.32 ± 0.91 / 42.63 ± 0.78,9.69 ± 2.14 / 54.58 ± 1.06,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.55,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,69.31 ± 2.48 / 83.09 ± 1.56,61.30 ± 0.66 / 44.45 ± 1.99,26.78 ± 3.87 / 62.95 ± 1.58,48.25 ± 6.26 / 24.18 ± 5.31,29.54 ± 0.11 / 30.34 ± 0.13,28.24 ± 0.71 / 45.60 ± 0.54,10.58 ± 0.97 / 54.81 ± 0.65,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.56,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,67.16 ± 2.03 / 80.96 ± 1.46,63.26 ± 1.35 / 48.51 ± 2.99,14.91 ± 3.07 / 40.27 ± 2.55,58.43 ± 1.26 / 26.19 ± 2.16,30.60 ± 0.61 / 31.26 ± 0.72,27.02 ± 0.84 / 44.99 ± 0.62,13.18 ± 2.37 / 56.55 ± 1.21,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.57,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,61.03 ± 4.25 / 79.62 ± 2.48,50.31 ± 1.82 / 39.21 ± 1.61,27.33 ± 2.41 / 61.62 ± 1.24,65.26 ± 0.85 / 39.38 ± 1.41,25.85 ± 0.84 / 26.26 ± 0.89,40.18 ± 1.83 / 55.12 ± 1.41,9.54 ± 4.69 / 56.09 ± 2.37,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.58,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,62.21 ± 3.45 / 80.96 ± 1.75,57.05 ± 0.85 / 43.42 ± 2.24,29.42 ± 2.50 / 64.07 ± 1.30,59.93 ± 0.82 / 34.39 ± 0.57,29.24 ± 0.16 / 30.20 ± 0.18,26.87 ± 1.95 / 45.20 ± 1.47,6.46 ± 1.86 / 51.02 ± 1.08,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.58,?,?,?,✓,✗,(✓),✓,62.18 ± 2.38 / 79.33 ± 1.24,50.42 ± 1.42 / 36.82 ± 1.42,29.04 ± 3.43 / 62.34 ± 2.69,65.07 ± 1.38 / 38.02 ± 2.38,28.56 ± 0.14 / 29.46 ± 0.15,30.09 ± 0.88 / 47.22 ± 0.65,11.99 ± 2.33 / 55.98 ± 1.17,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
