<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.08,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,63.65 ± 1.11 / 75.06 ± 0.83,68.16 ± 1.75 / 61.99 ± 1.60,34.45 ± 2.71 / 64.24 ± 2.54,32.93 ± 1.09 / 2.79 ± 1.26,32.64 ± 0.10 / 35.43 ± 0.11,63.04 ± 0.64 / 72.20 ± 0.47,49.65 ± 2.47 / 74.84 ± 1.23,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.17.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.08,?,?,400000.0,✓,✗,✗,✓,46.15 ± 1.86 / 62.99 ± 1.16,44.41 ± 1.24 / 31.08 ± 1.13,58.54 ± 1.34 / 79.05 ± 0.71,60.86 ± 0.62 / 37.01 ± 1.13,31.05 ± 0.16 / 35.75 ± 0.16,69.51 ± 1.20 / 77.11 ± 0.91,46.51 ± 3.09 / 71.80 ± 1.58,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.11,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,55.02 ± 1.02 / 65.51 ± 0.46,71.00 ± 0.62 / 69.78 ± 0.66,36.59 ± 2.14 / 66.12 ± 1.31,59.75 ± 1.36 / 36.62 ± 1.44,29.23 ± 0.24 / 33.75 ± 0.16,66.23 ± 1.01 / 74.62 ± 0.76,38.80 ± 1.86 / 69.37 ± 0.96,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.12,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,47.02 ± 1.18 / 58.97 ± 1.16,68.90 ± 1.67 / 65.89 ± 1.45,33.14 ± 2.68 / 62.84 ± 1.49,60.90 ± 1.01 / 41.94 ± 1.32,29.63 ± 0.26 / 31.40 ± 0.35,63.91 ± 1.59 / 72.54 ± 1.20,45.73 ± 3.45 / 74.84 ± 1.74,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.16,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,63.13 ± 0.79 / 71.28 ± 1.24,67.56 ± 2.08 / 56.37 ± 2.76,47.18 ± 2.22 / 73.39 ± 1.12,26.88 ± 0.78 / 0.24 ± 0.13,33.15 ± 0.20 / 36.06 ± 0.22,59.56 ± 0.93 / 69.62 ± 0.72,33.97 ± 1.13 / 67.02 ± 0.57,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.17,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,59.72 ± 0.91 / 68.84 ± 1.29,77.44 ± 0.73 / 70.87 ± 1.96,28.03 ± 2.99 / 55.61 ± 2.85,29.81 ± 0.70 / 0.02 ± 0.04,32.43 ± 0.19 / 34.73 ± 0.29,62.93 ± 1.31 / 72.17 ± 0.97,43.62 ± 1.79 / 71.82 ± 0.91,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.18,?,256128.0,1048576.0,✓,✗,✗,✓,48.69 ± 2.39 / 62.85 ± 1.73,48.69 ± 2.66 / 28.63 ± 1.51,40.94 ± 2.35 / 63.53 ± 1.64,61.43 ± 1.10 / 39.66 ± 1.88,33.65 ± 0.30 / 37.26 ± 0.31,61.64 ± 2.35 / 71.05 ± 1.76,38.23 ± 2.85 / 69.77 ± 1.72,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.15.0.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.19,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,49.42 ± 1.53 / 63.76 ± 0.97,65.74 ± 1.48 / 58.84 ± 1.99,39.52 ± 2.46 / 63.08 ± 1.82,64.64 ± 1.67 / 46.50 ± 1.96,32.00 ± 0.26 / 35.39 ± 0.25,52.37 ± 1.24 / 64.34 ± 0.92,26.88 ± 3.15 / 64.77 ± 1.65,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.23,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,49.70 ± 1.30 / 60.75 ± 1.01,43.45 ± 1.89 / 42.74 ± 1.74,25.85 ± 1.52 / 48.84 ± 1.41,40.67 ± 1.06 / 34.65 ± 1.30,30.47 ± 0.58 / 32.46 ± 0.67,72.07 ± 0.83 / 78.71 ± 0.63,64.84 ± 2.88 / 83.75 ± 1.41,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.23,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,56.94 ± 1.29 / 70.37 ± 1.07,64.60 ± 1.67 / 54.04 ± 3.61,31.55 ± 2.29 / 62.26 ± 2.21,65.53 ± 1.63 / 46.84 ± 2.08,32.70 ± 0.17 / 35.33 ± 0.19,43.09 ± 0.98 / 57.13 ± 0.76,24.95 ± 1.48 / 62.41 ± 0.71,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.26,12187325040.0,262144.0,8192.0,✓,✗,(✓),✓,61.52 ± 0.92 / 68.94 ± 1.92,61.20 ± 2.69 / 58.61 ± 2.62,40.79 ± 2.39 / 64.29 ± 2.31,63.81 ± 4.48 / 46.26 ± 5.37,22.27 ± 3.14 / 22.62 ± 3.49,51.88 ± 1.06 / 63.84 ± 0.80,36.49 ± 2.03 / 68.21 ± 1.02,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.27,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,52.79 ± 1.35 / 64.28 ± 0.77,73.76 ± 1.60 / 73.38 ± 1.35,33.35 ± 2.42 / 63.27 ± 1.66,56.31 ± 1.09 / 32.48 ± 1.93,29.88 ± 0.39 / 34.05 ± 0.20,53.75 ± 1.26 / 65.23 ± 0.96,27.42 ± 1.67 / 63.73 ± 0.82,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.28,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,45.81 ± 1.70 / 57.83 ± 1.40,66.88 ± 1.19 / 62.35 ± 1.75,40.81 ± 2.44 / 69.52 ± 1.34,65.28 ± 1.07 / 46.60 ± 1.40,31.88 ± 0.21 / 35.48 ± 0.22,46.89 ± 0.83 / 59.96 ± 0.57,22.97 ± 3.39 / 64.30 ± 1.31,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.31,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,50.73 ± 3.66 / 64.95 ± 2.76,43.75 ± 3.36 / 43.98 ± 2.59,47.64 ± 3.44 / 68.75 ± 2.59,62.68 ± 1.60 / 36.59 ± 2.40,33.52 ± 0.13 / 36.77 ± 0.13,44.35 ± 2.24 / 57.85 ± 1.61,25.89 ± 4.79 / 61.17 ± 2.20,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.31,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,60.00 ± 1.31 / 70.63 ± 1.16,69.81 ± 1.25 / 62.44 ± 2.56,23.93 ± 2.70 / 54.82 ± 2.09,61.28 ± 1.25 / 37.30 ± 1.59,33.20 ± 0.16 / 36.23 ± 0.20,39.85 ± 0.95 / 54.66 ± 0.72,19.89 ± 2.13 / 59.97 ± 1.07,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.34,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,40.23 ± 0.56 / 47.71 ± 0.36,64.84 ± 1.54 / 61.41 ± 1.32,37.47 ± 1.54 / 63.94 ± 1.18,66.56 ± 0.59 / 45.69 ± 1.20,33.25 ± 0.15 / 36.01 ± 0.16,33.92 ± 1.43 / 50.47 ± 1.08,31.41 ± 2.83 / 66.25 ± 1.49,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.35,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,47.74 ± 2.75 / 64.83 ± 2.32,62.59 ± 1.81 / 65.55 ± 1.60,40.71 ± 2.60 / 69.08 ± 1.29,67.04 ± 1.62 / 50.48 ± 2.17,25.29 ± 1.32 / 26.16 ± 1.50,52.68 ± 1.40 / 64.53 ± 1.02,31.42 ± 4.14 / 66.02 ± 2.08,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.37,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,55.76 ± 1.49 / 67.76 ± 1.16,63.32 ± 1.55 / 49.69 ± 3.59,31.35 ± 1.16 / 64.96 ± 0.72,60.81 ± 2.11 / 43.04 ± 2.65,32.44 ± 0.21 / 34.88 ± 0.28,37.47 ± 0.69 / 52.83 ± 0.52,18.59 ± 1.77 / 59.19 ± 0.84,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.41,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,58.29 ± 1.25 / 67.83 ± 1.21,72.19 ± 0.98 / 68.24 ± 1.96,26.71 ± 3.10 / 55.72 ± 3.03,26.88 ± 0.74 / 0.00 ± 0.00,31.91 ± 0.18 / 34.15 ± 0.29,50.26 ± 0.64 / 62.69 ± 0.50,31.35 ± 2.06 / 65.68 ± 1.03,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.43,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,53.16 ± 2.21 / 69.72 ± 1.56,54.16 ± 1.43 / 54.67 ± 1.74,24.34 ± 2.46 / 61.96 ± 1.24,67.20 ± 0.68 / 47.19 ± 1.24,31.93 ± 0.15 / 34.25 ± 0.22,40.34 ± 1.44 / 55.12 ± 1.09,19.41 ± 3.15 / 59.38 ± 1.36,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.45,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,58.45 ± 0.98 / 61.17 ± 1.85,60.73 ± 1.00 / 51.53 ± 2.60,45.91 ± 5.42 / 69.68 ± 4.51,21.88 ± 3.22 / 8.87 ± 1.35,31.55 ± 1.44 / 33.58 ± 1.79,43.24 ± 0.77 / 57.40 ± 0.58,27.58 ± 1.43 / 63.68 ± 0.69,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.45,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,42.06 ± 2.17 / 61.35 ± 1.65,72.03 ± 0.93 / 72.88 ± 0.76,20.30 ± 1.88 / 50.41 ± 1.43,52.94 ± 0.89 / 31.84 ± 1.30,27.15 ± 0.19 / 31.83 ± 0.19,58.24 ± 1.48 / 68.52 ± 1.15,29.18 ± 4.38 / 64.06 ± 1.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.50,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,53.77 ± 0.86 / 62.73 ± 1.39,61.75 ± 1.44 / 59.46 ± 1.34,22.98 ± 2.48 / 61.02 ± 1.28,63.22 ± 2.52 / 44.61 ± 2.92,30.56 ± 0.47 / 32.59 ± 0.59,37.72 ± 1.07 / 53.40 ± 0.82,17.86 ± 2.09 / 58.87 ± 1.03,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.51,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,46.21 ± 1.58 / 64.56 ± 0.85,66.44 ± 2.22 / 68.04 ± 1.87,8.39 ± 1.38 / 38.68 ± 0.91,54.26 ± 1.10 / 38.48 ± 1.51,26.08 ± 0.48 / 27.51 ± 0.61,53.61 ± 0.99 / 64.65 ± 0.79,42.54 ± 3.80 / 73.20 ± 1.75,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.60,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,44.41 ± 2.27 / 61.83 ± 2.07,61.80 ± 1.81 / 65.75 ± 1.86,14.05 ± 4.70 / 47.78 ± 4.26,62.71 ± 2.34 / 43.97 ± 2.77,25.16 ± 1.23 / 26.05 ± 1.43,48.23 ± 1.25 / 60.74 ± 0.96,24.40 ± 3.12 / 63.83 ± 1.43,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.60,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,59.96 ± 1.19 / 71.87 ± 1.20,63.50 ± 1.64 / 57.66 ± 2.30,27.40 ± 1.91 / 57.77 ± 1.83,33.18 ± 4.50 / 4.49 ± 2.68,33.07 ± 0.18 / 35.49 ± 0.30,34.36 ± 1.00 / 50.09 ± 0.83,10.58 ± 1.45 / 54.95 ± 0.99,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.62,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,56.55 ± 4.53 / 67.87 ± 5.28,46.94 ± 2.53 / 43.80 ± 2.11,42.21 ± 3.63 / 67.33 ± 3.07,64.21 ± 3.41 / 47.57 ± 3.46,23.28 ± 3.03 / 23.53 ± 3.42,40.60 ± 0.66 / 55.18 ± 0.57,11.79 ± 1.48 / 54.95 ± 1.12,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.63,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,39.45 ± 1.37 / 59.92 ± 1.06,67.36 ± 1.61 / 67.62 ± 1.36,15.55 ± 2.19 / 46.59 ± 1.30,50.43 ± 0.90 / 30.06 ± 0.83,24.25 ± 0.14 / 28.76 ± 0.14,57.77 ± 1.04 / 68.28 ± 0.80,29.98 ± 2.73 / 64.69 ± 1.15,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.64,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,40.28 ± 2.60 / 57.64 ± 2.70,54.41 ± 1.51 / 57.38 ± 1.38,39.88 ± 3.34 / 64.68 ± 2.61,68.25 ± 1.47 / 50.17 ± 1.72,23.20 ± 1.54 / 23.73 ± 1.75,42.88 ± 1.39 / 56.84 ± 1.08,13.39 ± 3.40 / 49.30 ± 1.64,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.67,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,53.76 ± 0.88 / 63.92 ± 0.72,49.54 ± 1.25 / 50.30 ± 1.18,22.48 ± 1.93 / 52.51 ± 1.42,58.07 ± 0.94 / 37.70 ± 1.45,19.26 ± 0.81 / 21.91 ± 0.91,61.18 ± 1.85 / 69.96 ± 1.43,31.04 ± 2.04 / 65.24 ± 1.04,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.15.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.68,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,46.51 ± 1.96 / 59.26 ± 1.03,63.98 ± 1.28 / 64.09 ± 1.37,33.81 ± 1.76 / 60.75 ± 1.40,71.83 ± 1.46 / 53.28 ± 2.29,11.78 ± 3.21 / 12.85 ± 3.54,50.54 ± 1.03 / 62.89 ± 0.76,21.52 ± 3.25 / 62.97 ± 1.60,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.71,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,58.80 ± 1.12 / 66.93 ± 1.53,67.71 ± 1.70 / 63.45 ± 1.96,18.39 ± 1.36 / 45.49 ± 1.40,24.29 ± 2.39 / 0.41 ± 0.20,32.52 ± 0.52 / 34.31 ± 0.76,29.51 ± 1.37 / 46.38 ± 1.24,14.09 ± 1.48 / 56.92 ± 0.67,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.71,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,40.95 ± 1.99 / 58.13 ± 1.83,57.19 ± 2.34 / 58.07 ± 1.81,17.42 ± 2.64 / 52.57 ± 1.43,50.25 ± 0.73 / 29.72 ± 0.88,24.80 ± 0.28 / 29.66 ± 0.31,59.30 ± 1.55 / 69.38 ± 1.19,19.08 ± 2.24 / 61.09 ± 1.57,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.72,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,55.04 ± 1.46 / 65.82 ± 1.28,63.25 ± 1.47 / 62.39 ± 1.46,15.61 ± 1.62 / 40.41 ± 0.78,62.06 ± 2.83 / 44.48 ± 2.68,26.99 ± 2.36 / 28.13 ± 2.75,26.51 ± 0.76 / 44.50 ± 0.54,12.70 ± 2.51 / 56.16 ± 1.18,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.73,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,46.84 ± 1.53 / 57.18 ± 1.53,30.78 ± 2.61 / 30.71 ± 2.57,19.27 ± 1.64 / 42.07 ± 1.49,30.96 ± 0.68 / 27.29 ± 0.94,23.31 ± 0.77 / 24.70 ± 0.81,66.98 ± 0.74 / 74.80 ± 0.61,52.86 ± 3.21 / 78.20 ± 1.46,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.75,?,?,?,✓,✗,(✓),✓,46.91 ± 2.02 / 63.20 ± 2.23,55.33 ± 2.18 / 39.84 ± 3.00,16.03 ± 5.14 / 50.54 ± 6.45,63.78 ± 1.54 / 45.37 ± 1.93,30.37 ± 0.15 / 33.50 ± 0.16,28.55 ± 1.35 / 46.22 ± 1.00,9.00 ± 2.19 / 54.41 ± 1.08,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.76,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,56.72 ± 1.40 / 65.75 ± 1.81,59.58 ± 2.43 / 56.03 ± 2.01,11.78 ± 5.81 / 42.83 ± 6.13,64.60 ± 2.05 / 46.83 ± 2.34,24.94 ± 2.97 / 25.83 ± 3.38,27.74 ± 0.59 / 45.70 ± 0.43,12.22 ± 2.96 / 55.92 ± 1.51,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.76,?,?,?,✓,✗,(✓),✓,48.36 ± 2.04 / 61.99 ± 1.98,51.31 ± 2.91 / 43.87 ± 2.83,11.03 ± 6.63 / 42.42 ± 6.76,60.22 ± 1.06 / 39.68 ± 1.33,30.40 ± 0.12 / 33.87 ± 0.12,35.63 ± 1.10 / 51.15 ± 0.84,10.29 ± 2.27 / 53.83 ± 1.11,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.78,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,37.25 ± 1.57 / 58.43 ± 1.04,58.46 ± 1.52 / 56.50 ± 1.37,37.16 ± 5.11 / 68.26 ± 2.62,55.68 ± 1.41 / 36.70 ± 1.09,18.75 ± 0.83 / 19.22 ± 0.90,45.95 ± 2.01 / 59.41 ± 1.48,18.32 ± 5.57 / 57.73 ± 2.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.79,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,55.96 ± 1.12 / 68.99 ± 0.92,58.85 ± 2.36 / 50.23 ± 3.73,22.11 ± 2.41 / 53.90 ± 2.39,28.40 ± 5.05 / 6.95 ± 4.14,32.31 ± 0.17 / 35.18 ± 0.22,26.82 ± 0.84 / 44.59 ± 0.65,7.52 ± 1.79 / 53.62 ± 0.96,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
