<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.08,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,41.60 ± 1.38 / 60.89 ± 1.17,61.38 ± 1.40 / 61.38 ± 1.40,32.92 ± 1.55 / 61.56 ± 1.88,63.08 ± 0.89 / 40.91 ± 1.24,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.10,561192082.0,250002.0,512.0,✓,✗,(✓),✓,40.52 ± 9.38 / 56.77 ± 9.15,77.58 ± 1.67 / 77.58 ± 1.67,41.17 ± 16.22 / 65.59 ± 10.85,28.47 ± 1.49 / 20.81 ± 1.11,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.10,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,45.25 ± 5.49 / 62.67 ± 3.24,57.45 ± 3.03 / 57.45 ± 3.03,23.22 ± 3.94 / 57.96 ± 2.40,68.08 ± 1.75 / 44.48 ± 2.94,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://docs.x.ai/developers/models/grok-4.20-beta-0309-reasoning'>xai/grok-4.20-beta-0309-reasoning (zero-shot, val)</a>",📝,2.12,?,?,131072.0,✓,✗,✗,✓,36.67 ± 1.97 / 57.23 ± 1.16,66.45 ± 0.40 / 66.45 ± 0.40,59.85 ± 1.05 / 78.65 ± 0.63,29.02 ± 0.33 / 6.26 ± 0.34,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.13,307537161.0,256000.0,8192.0,✓,✗,(✓),✓,38.31 ± 2.02 / 58.27 ± 1.39,73.20 ± 1.36 / 73.20 ± 1.36,51.98 ± 5.72 / 75.25 ± 3.08,27.40 ± 0.62 / 18.57 ± 0.80,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.13,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,44.64 ± 1.86 / 62.60 ± 1.03,65.09 ± 1.65 / 65.09 ± 1.65,53.35 ± 1.74 / 75.04 ± 1.22,26.66 ± 0.95 / 0.06 ± 0.06,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.13,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,33.53 ± 2.45 / 55.62 ± 2.04,66.58 ± 0.80 / 66.58 ± 0.80,36.68 ± 1.41 / 64.37 ± 0.95,56.89 ± 0.60 / 34.46 ± 0.89,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.13,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,41.37 ± 1.98 / 60.03 ± 1.20,62.85 ± 1.30 / 62.85 ± 1.30,18.95 ± 2.07 / 54.70 ± 1.99,70.12 ± 1.15 / 50.22 ± 1.44,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.15,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,42.87 ± 1.29 / 56.79 ± 1.00,58.47 ± 1.06 / 58.47 ± 1.06,30.17 ± 4.15 / 56.23 ± 4.77,63.79 ± 0.76 / 42.73 ± 1.34,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.16,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,40.09 ± 2.11 / 59.85 ± 1.24,62.19 ± 0.99 / 62.19 ± 0.99,26.52 ± 1.64 / 62.60 ± 0.86,64.32 ± 1.03 / 40.22 ± 0.94,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.16,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,42.21 ± 2.03 / 60.61 ± 1.35,59.72 ± 1.46 / 59.72 ± 1.46,34.76 ± 3.20 / 61.92 ± 3.40,54.44 ± 1.97 / 34.08 ± 1.73,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.16,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,39.74 ± 1.87 / 57.45 ± 1.25,67.93 ± 0.91 / 67.93 ± 0.91,24.74 ± 1.22 / 53.81 ± 0.84,58.95 ± 2.40 / 38.78 ± 2.59,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0'>INSAIT-Institute/MamayLM-Gemma-3-12B-IT-v1.0</a>,📝,2.20,12187325040.0,262144.0,8192.0,✗,✗,(✓),✗,47.14 ± 0.83 / 63.47 ± 0.67,67.14 ± 1.06 / 67.14 ± 1.06,50.68 ± 1.87 / 74.19 ± 1.47,17.10 ± 0.67 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.21,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,39.11 ± 1.25 / 59.23 ± 1.01,59.25 ± 1.38 / 59.25 ± 1.38,30.42 ± 1.96 / 64.77 ± 0.91,59.26 ± 1.05 / 40.06 ± 1.38,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.21,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,38.20 ± 1.22 / 57.45 ± 0.89,62.22 ± 0.85 / 62.22 ± 0.85,24.35 ± 1.89 / 59.89 ± 1.50,65.57 ± 1.26 / 45.28 ± 1.15,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.21,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,45.03 ± 1.42 / 63.48 ± 1.05,65.12 ± 1.35 / 65.12 ± 1.35,46.43 ± 1.47 / 72.52 ± 1.12,27.49 ± 1.30 / 5.93 ± 1.51,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.21,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,41.16 ± 1.57 / 57.67 ± 1.07,62.32 ± 0.89 / 62.32 ± 0.89,25.66 ± 0.98 / 60.28 ± 1.33,57.06 ± 0.59 / 26.12 ± 1.38,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.22,559890946.0,250002.0,512.0,✓,✗,(✓),✗,49.96 ± 2.72 / 65.80 ± 1.96,80.45 ± 1.10 / 80.45 ± 1.10,13.97 ± 10.78 / 56.11 ± 5.68,29.43 ± 1.30 / 21.23 ± 1.11,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,2.23,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,36.35 ± 1.56 / 56.09 ± 0.89,64.03 ± 0.84 / 64.03 ± 0.84,26.51 ± 2.17 / 58.68 ± 1.03,56.66 ± 0.40 / 32.36 ± 0.75,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.24,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,41.52 ± 1.22 / 60.79 ± 0.83,61.55 ± 0.87 / 61.55 ± 0.87,26.98 ± 2.05 / 62.83 ± 1.04,54.94 ± 1.17 / 36.11 ± 1.36,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.25,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,42.71 ± 1.51 / 61.98 ± 1.11,65.58 ± 1.24 / 65.58 ± 1.24,46.32 ± 1.16 / 72.93 ± 0.63,24.85 ± 0.43 / 0.06 ± 0.08,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.25,?,?,?,✓,✗,(✓),✓,35.50 ± 1.78 / 56.57 ± 1.44,57.38 ± 1.35 / 57.38 ± 1.35,28.71 ± 2.01 / 63.14 ± 1.28,66.43 ± 0.90 / 42.90 ± 0.94,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.25,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,46.07 ± 1.18 / 56.78 ± 1.01,62.06 ± 1.32 / 62.06 ± 1.32,41.97 ± 4.39 / 66.33 ± 4.02,29.90 ± 1.66 / 13.05 ± 1.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.26,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,41.08 ± 1.40 / 60.63 ± 0.78,58.22 ± 1.02 / 58.22 ± 1.02,19.84 ± 1.31 / 58.98 ± 0.80,65.08 ± 0.81 / 44.45 ± 1.13,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.26,?,?,1047576.0,✓,✗,✗,✓,40.23 ± 3.46 / 59.72 ± 2.14,54.91 ± 1.95 / 54.91 ± 1.95,33.87 ± 3.94 / 62.81 ± 2.46,54.88 ± 1.34 / 27.23 ± 1.82,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.27,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,43.28 ± 1.43 / 61.41 ± 0.82,63.95 ± 1.00 / 63.95 ± 1.00,47.72 ± 1.62 / 72.96 ± 1.13,19.02 ± 2.03 / 4.39 ± 1.34,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.27,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,35.16 ± 2.10 / 56.35 ± 1.32,65.61 ± 0.89 / 65.61 ± 0.89,25.11 ± 2.17 / 51.14 ± 1.34,55.64 ± 0.49 / 33.91 ± 0.54,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.27,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,33.50 ± 2.57 / 52.59 ± 2.11,61.88 ± 1.56 / 61.88 ± 1.56,24.02 ± 1.71 / 60.30 ± 1.75,64.74 ± 0.43 / 43.70 ± 0.85,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.27,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,34.99 ± 2.20 / 54.57 ± 1.37,62.59 ± 0.79 / 62.59 ± 0.79,49.74 ± 3.29 / 74.69 ± 1.64,34.70 ± 1.09 / 28.05 ± 1.25,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.27,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,43.79 ± 1.28 / 62.13 ± 0.81,66.72 ± 0.95 / 66.72 ± 0.95,47.96 ± 1.79 / 73.29 ± 0.99,17.79 ± 2.20 / 1.48 ± 1.60,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.28,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,34.98 ± 2.17 / 56.53 ± 1.30,62.21 ± 1.14 / 62.21 ± 1.14,14.65 ± 2.63 / 56.70 ± 1.45,72.33 ± 0.79 / 50.51 ± 1.11,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.28,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,35.03 ± 2.34 / 56.19 ± 1.46,64.65 ± 0.79 / 64.65 ± 0.79,25.18 ± 2.90 / 52.38 ± 1.33,57.60 ± 0.51 / 34.99 ± 0.73,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.29,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,37.78 ± 2.07 / 57.51 ± 1.76,60.61 ± 1.84 / 60.61 ± 1.84,24.92 ± 1.56 / 59.78 ± 1.85,56.29 ± 0.63 / 31.66 ± 1.06,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.30,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,30.07 ± 2.11 / 41.59 ± 1.97,61.82 ± 1.68 / 61.82 ± 1.68,25.92 ± 3.98 / 52.44 ± 4.40,66.16 ± 1.81 / 46.40 ± 1.69,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/lapa-llm/lapa-v0.1.2-instruct'>lapa-llm/lapa-v0.1.2-instruct</a>,📝,2.30,12187325040.0,262144.0,8192.0,✗,✗,(✓),✗,47.84 ± 1.47 / 63.63 ± 0.99,63.57 ± 2.68 / 63.57 ± 2.68,36.44 ± 2.36 / 66.71 ± 2.21,20.44 ± 0.62 / 0.12 ± 0.06,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini</a>,🤔,2.30,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,37.88 ± 2.84 / 57.04 ± 2.05,63.82 ± 0.72 / 63.82 ± 0.72,20.55 ± 1.15 / 58.38 ± 0.87,56.47 ± 0.90 / 38.30 ± 1.08,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.30,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,38.94 ± 1.30 / 59.28 ± 0.91,59.49 ± 0.97 / 59.49 ± 0.97,18.51 ± 1.94 / 58.45 ± 1.05,63.44 ± 1.21 / 43.08 ± 1.46,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,2.31,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,43.50 ± 1.23 / 61.58 ± 1.08,65.58 ± 1.41 / 65.58 ± 1.41,42.50 ± 3.75 / 68.02 ± 3.43,18.38 ± 1.54 / 2.53 ± 1.11,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.32,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,43.02 ± 0.62 / 61.78 ± 0.57,64.58 ± 1.12 / 64.58 ± 1.12,44.44 ± 0.74 / 71.95 ± 0.53,23.13 ± 0.31 / 0.24 ± 0.12,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.32,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,29.15 ± 1.66 / 52.25 ± 0.98,61.60 ± 0.94 / 61.60 ± 0.94,24.14 ± 2.30 / 60.88 ± 1.01,65.47 ± 0.68 / 42.33 ± 0.95,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.34,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,44.48 ± 1.02 / 62.17 ± 0.56,62.49 ± 1.65 / 62.49 ± 1.65,38.20 ± 1.95 / 65.61 ± 2.27,26.22 ± 0.84 / 0.04 ± 0.05,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think</a>,🤔,2.35,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,34.85 ± 1.55 / 56.86 ± 1.19,67.54 ± 1.10 / 67.54 ± 1.10,15.60 ± 2.57 / 44.11 ± 1.38,58.85 ± 1.33 / 40.18 ± 1.57,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.35,140645001.0,256000.0,8192.0,✓,✗,(✓),✓,33.51 ± 1.67 / 55.04 ± 1.33,70.66 ± 1.66 / 70.66 ± 1.66,45.59 ± 4.00 / 72.55 ± 1.92,21.80 ± 1.12 / 14.13 ± 1.22,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.36,470927360.0,501153.0,512.0,✓,✗,(✓),✗,44.96 ± 1.94 / 62.64 ± 1.36,82.10 ± 0.72 / 82.10 ± 0.72,13.73 ± 11.00 / 56.32 ± 5.30,25.32 ± 1.29 / 17.95 ± 1.05,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.36,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,34.55 ± 1.86 / 56.13 ± 1.18,67.50 ± 0.58 / 67.50 ± 0.58,13.15 ± 1.66 / 43.84 ± 0.83,60.63 ± 1.03 / 39.08 ± 1.21,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.36,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,38.00 ± 2.26 / 57.09 ± 1.27,63.40 ± 0.89 / 63.40 ± 0.89,18.36 ± 1.39 / 57.15 ± 1.10,56.74 ± 1.26 / 37.82 ± 1.20,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.37,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,36.58 ± 1.75 / 56.36 ± 0.84,60.41 ± 1.59 / 60.41 ± 1.59,15.40 ± 1.31 / 55.14 ± 1.69,62.91 ± 1.24 / 42.17 ± 1.62,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.37,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,33.21 ± 5.08 / 53.68 ± 3.38,56.64 ± 1.23 / 56.64 ± 1.23,24.10 ± 2.51 / 59.26 ± 1.97,63.05 ± 0.83 / 41.05 ± 1.76,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.38,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,32.39 ± 3.76 / 46.09 ± 4.20,58.26 ± 2.76 / 58.26 ± 2.76,20.13 ± 2.14 / 55.46 ± 4.29,64.93 ± 1.68 / 45.48 ± 1.51,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.39,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,40.21 ± 1.66 / 58.37 ± 1.20,59.74 ± 2.38 / 59.74 ± 2.38,9.23 ± 2.73 / 41.34 ± 2.65,64.68 ± 1.29 / 44.23 ± 1.39,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.39,?,?,?,✓,✗,(✓),✓,28.14 ± 2.81 / 50.24 ± 3.02,56.08 ± 1.67 / 56.08 ± 1.67,33.05 ± 1.29 / 64.70 ± 1.58,57.85 ± 0.87 / 37.25 ± 1.08,16.17.0,16.17.0,16.17.0,16.17.0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.39,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,26.51 ± 2.65 / 49.45 ± 1.87,57.14 ± 2.01 / 57.14 ± 2.01,33.11 ± 4.83 / 65.75 ± 2.56,59.96 ± 1.69 / 37.49 ± 1.83,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.39,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,41.46 ± 1.90 / 59.81 ± 1.17,57.97 ± 2.98 / 57.97 ± 2.98,10.73 ± 5.34 / 42.00 ± 5.89,62.94 ± 2.58 / 44.94 ± 2.99,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.40,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,39.61 ± 2.95 / 58.94 ± 2.22,54.00 ± 1.55 / 54.00 ± 1.55,14.65 ± 1.30 / 54.60 ± 1.51,64.39 ± 1.80 / 42.76 ± 1.67,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.41,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,37.17 ± 1.95 / 49.48 ± 2.00,62.67 ± 2.26 / 62.67 ± 2.26,-1.73 ± 1.34 / 33.43 ± 0.75,71.61 ± 0.82 / 51.40 ± 1.15,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.42,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,33.08 ± 2.15 / 55.06 ± 1.44,57.64 ± 1.67 / 57.64 ± 1.67,16.12 ± 1.62 / 44.15 ± 1.78,66.44 ± 0.96 / 43.96 ± 1.19,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.42,278225673.0,251000.0,512.0,✓,✗,(✓),✓,35.18 ± 6.41 / 54.20 ± 6.43,76.59 ± 1.54 / 76.59 ± 1.54,38.74 ± 6.16 / 64.16 ± 5.23,9.62 ± 2.76 / 6.25 ± 2.07,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.46,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,26.46 ± 2.03 / 35.79 ± 2.15,60.93 ± 1.58 / 60.93 ± 1.58,15.42 ± 2.18 / 40.06 ± 2.23,68.75 ± 1.22 / 50.89 ± 1.67,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.46,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,37.50 ± 2.41 / 57.91 ± 1.81,57.79 ± 1.72 / 57.79 ± 1.72,31.14 ± 1.98 / 62.90 ± 1.99,38.84 ± 6.87 / 11.29 ± 6.70,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
