<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,2.11,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,61.67 ± 1.96 / 71.20 ± 1.58,42.73 ± 3.85 / 30.05 ± 2.87,38.77 ± 2.00 / 66.91 ± 1.30,56.62 ± 0.64 / 37.08 ± 0.84,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.12,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,40.04 ± 4.33 / 47.70 ± 5.23,44.49 ± 2.36 / 26.70 ± 2.03,42.06 ± 1.92 / 68.31 ± 2.11,71.38 ± 1.44 / 51.75 ± 1.93,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.12,24011361280.0,131072.0,?,✓,✗,(✓),✓,46.30 ± 2.07 / 54.15 ± 2.52,54.69 ± 2.66 / 43.73 ± 2.84,21.65 ± 1.83 / 47.50 ± 2.47,72.91 ± 1.72 / 48.40 ± 3.02,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,2.13,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,58.47 ± 2.59 / 68.54 ± 1.83,49.48 ± 3.96 / 35.66 ± 2.73,22.56 ± 2.53 / 60.67 ± 1.39,71.88 ± 1.56 / 45.10 ± 2.23,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825'>tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825</a>,📝,2.14,8030261248.0,128256.0,131072.0,✗,✗,(✓),✗,53.88 ± 1.87 / 66.03 ± 1.17,42.80 ± 1.54 / 26.60 ± 1.25,32.83 ± 3.02 / 55.19 ± 3.21,66.33 ± 1.45 / 45.31 ± 1.42,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,2.15,70553706496.0,128256.0,?,✓,✗,(✓),✗,57.95 ± 1.65 / 69.20 ± 1.26,51.13 ± 0.91 / 30.63 ± 1.67,26.07 ± 1.95 / 61.54 ± 1.49,64.06 ± 0.85 / 35.02 ± 0.95,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.16,?,?,400000.0,✓,✗,✗,✓,57.87 ± 1.55 / 67.65 ± 1.11,37.89 ± 1.44 / 25.78 ± 0.88,41.59 ± 2.05 / 69.91 ± 0.99,58.49 ± 0.63 / 28.38 ± 0.64,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.16,?,?,400000.0,✓,✗,✗,✓,54.08 ± 1.33 / 64.92 ± 1.06,33.25 ± 1.36 / 22.75 ± 0.65,45.67 ± 1.55 / 71.85 ± 0.75,60.46 ± 0.81 / 28.17 ± 0.89,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.18,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,60.57 ± 1.19 / 71.20 ± 0.88,55.01 ± 1.63 / 35.91 ± 1.70,38.98 ± 1.97 / 69.14 ± 0.95,28.68 ± 0.88 / 0.13 ± 0.10,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.20,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,58.00 ± 0.79 / 69.48 ± 0.71,48.92 ± 1.33 / 44.09 ± 1.45,25.16 ± 1.37 / 62.51 ± 0.68,60.88 ± 0.95 / 38.61 ± 1.10,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.22,14765947904.0,151665.0,131072.0,✓,✗,(✓),✗,55.39 ± 1.52 / 67.70 ± 1.24,51.61 ± 1.40 / 35.33 ± 1.60,19.89 ± 1.61 / 59.76 ± 0.84,67.42 ± 1.84 / 45.01 ± 2.58,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.25,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,55.97 ± 1.92 / 67.35 ± 1.63,46.90 ± 1.65 / 23.40 ± 1.47,22.42 ± 4.09 / 45.41 ± 3.04,62.91 ± 1.67 / 42.37 ± 1.50,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.25,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,55.08 ± 1.47 / 66.33 ± 1.06,46.26 ± 2.06 / 28.92 ± 1.30,17.64 ± 2.43 / 57.82 ± 1.45,77.98 ± 0.73 / 57.62 ± 1.05,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.26,?,128000.0,4096.0,✓,✗,(✓),✓,24.89 ± 3.40 / 28.57 ± 3.23,50.38 ± 2.26 / 30.67 ± 1.64,37.81 ± 5.74 / 58.86 ± 5.25,71.70 ± 0.88 / 52.41 ± 1.57,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.28,?,?,200000.0,✓,✗,✗,✓,59.73 ± 3.06 / 69.72 ± 2.01,37.35 ± 3.45 / 22.52 ± 1.77,28.46 ± 1.61 / 63.92 ± 0.88,66.91 ± 1.21 / 35.98 ± 1.43,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.30,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,52.09 ± 1.77 / 62.78 ± 1.97,49.41 ± 1.11 / 27.06 ± 1.89,22.24 ± 1.60 / 59.45 ± 1.59,61.82 ± 1.12 / 34.03 ± 2.37,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/zai-org/GLM-4.7-Flash'>zai-org/GLM-4.7-Flash (val)</a>,🤔,2.30,31221485568.0,154880.0,202752.0,✓,✗,✗,✓,51.23 ± 1.14 / 64.61 ± 0.94,47.19 ± 2.19 / 34.06 ± 1.34,24.44 ± 2.23 / 61.08 ± 1.12,62.95 ± 0.86 / 36.64 ± 0.87,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.30,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,52.93 ± 1.30 / 65.01 ± 1.20,45.00 ± 1.90 / 22.33 ± 1.23,23.95 ± 2.01 / 61.66 ± 1.05,63.76 ± 1.20 / 39.65 ± 1.92,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.30,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,44.28 ± 7.26 / 57.86 ± 6.11,55.29 ± 1.63 / 34.78 ± 2.49,12.27 ± 5.15 / 37.84 ± 3.07,73.36 ± 1.49 / 54.35 ± 2.27,16.10.0,16.10.0,16.10.0,16.10.0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,2.31,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,57.29 ± 2.20 / 68.27 ± 1.78,47.98 ± 1.73 / 37.19 ± 1.52,34.55 ± 1.45 / 64.94 ± 1.37,37.68 ± 1.59 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",🤔,2.31,?,256128.0,1048576.0,✓,✗,✗,✓,60.79 ± 2.32 / 68.67 ± 2.02,41.53 ± 3.00 / 22.55 ± 1.25,21.55 ± 2.78 / 52.14 ± 1.06,62.46 ± 1.28 / 33.29 ± 1.46,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base</a>,🧠,2.33,70553706496.0,128256.0,?,✓,✗,(✓),✗,57.45 ± 1.30 / 56.75 ± 1.94,55.60 ± 1.87 / 40.74 ± 3.57,0.13 ± 0.26 / 33.09 ± 0.41,74.04 ± 1.19 / 53.86 ± 1.91,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.34,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,48.56 ± 2.85 / 60.71 ± 2.34,50.35 ± 1.94 / 38.02 ± 1.93,9.96 ± 3.73 / 38.31 ± 1.38,77.94 ± 0.70 / 55.98 ± 1.22,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.35,?,?,?,✓,✗,✗,✓,26.43 ± 3.01 / 44.18 ± 2.52,47.99 ± 3.28 / 40.86 ± 2.69,36.62 ± 3.81 / 64.86 ± 1.63,68.32 ± 0.81 / 37.93 ± 1.29,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.36,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,52.74 ± 0.85 / 49.06 ± 0.48,54.96 ± 1.62 / 42.12 ± 1.56,0.65 ± 0.65 / 33.95 ± 0.40,76.00 ± 0.94 / 52.06 ± 1.21,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.37,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,48.42 ± 1.54 / 61.39 ± 1.39,45.33 ± 1.28 / 24.82 ± 1.32,21.06 ± 1.33 / 60.32 ± 0.68,68.34 ± 1.43 / 45.99 ± 1.87,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.37,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,53.42 ± 2.62 / 65.64 ± 2.51,44.57 ± 1.50 / 24.89 ± 1.00,19.69 ± 2.03 / 59.07 ± 1.27,60.58 ± 1.27 / 36.79 ± 1.22,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-0525'>tartuNLP/Llama-3.1-EstLLM-8B-0525</a>,🧠,2.38,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,45.36 ± 3.04 / 59.63 ± 2.32,45.06 ± 2.16 / 24.70 ± 2.01,19.61 ± 2.12 / 58.49 ± 1.98,71.75 ± 1.52 / 49.85 ± 2.42,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.39,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,51.58 ± 1.45 / 63.14 ± 1.01,40.82 ± 1.67 / 25.85 ± 1.13,17.86 ± 1.70 / 57.75 ± 0.81,73.20 ± 1.24 / 50.22 ± 1.33,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,2.39,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,58.14 ± 1.09 / 70.06 ± 0.79,43.63 ± 2.96 / 27.10 ± 2.88,22.91 ± 2.05 / 52.94 ± 1.40,55.91 ± 1.11 / 36.44 ± 1.14,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.40,8918026240.0,131072.0,8192.0,✓,✗,(✓),✓,47.49 ± 1.41 / 59.38 ± 1.27,51.35 ± 2.24 / 35.44 ± 2.38,7.02 ± 1.86 / 35.93 ± 0.54,77.40 ± 1.37 / 55.39 ± 2.14,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.41,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,56.18 ± 2.24 / 67.28 ± 1.90,46.25 ± 1.16 / 28.08 ± 1.47,12.77 ± 1.72 / 53.96 ± 1.49,65.94 ± 1.50 / 42.32 ± 1.65,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,2.42,?,?,200000.0,✓,✗,✗,✓,50.00 ± 2.74 / 60.35 ± 2.10,35.14 ± 2.13 / 23.42 ± 1.40,28.51 ± 3.42 / 64.20 ± 1.72,62.43 ± 1.21 / 30.75 ± 1.70,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.42,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,49.90 ± 1.48 / 61.99 ± 0.97,40.60 ± 1.37 / 22.71 ± 1.17,23.22 ± 1.58 / 53.98 ± 1.44,64.78 ± 1.07 / 40.24 ± 1.38,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,2.43,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,55.75 ± 2.04 / 67.20 ± 1.69,48.90 ± 0.66 / 31.32 ± 1.78,4.09 ± 2.41 / 34.48 ± 0.65,69.08 ± 1.25 / 46.79 ± 1.58,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-SFT'>LumiOpen/Llama-Poro-2-8B-SFT</a>,📝,2.43,8030261248.0,128256.0,?,✓,✗,(✓),✗,53.23 ± 0.84 / 66.80 ± 0.48,51.38 ± 1.88 / 34.30 ± 1.90,10.69 ± 1.40 / 54.38 ± 1.33,63.79 ± 2.53 / 44.86 ± 3.05,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.45,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,41.37 ± 2.13 / 54.24 ± 2.06,45.67 ± 1.94 / 29.46 ± 1.19,13.84 ± 2.66 / 46.61 ± 2.11,77.34 ± 1.01 / 54.30 ± 1.39,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.46,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,53.39 ± 1.13 / 66.19 ± 1.02,53.52 ± 2.74 / 37.45 ± 2.56,8.25 ± 1.87 / 48.34 ± 1.55,61.40 ± 1.14 / 39.14 ± 1.44,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,2.47,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,45.04 ± 2.78 / 59.71 ± 2.30,48.85 ± 1.68 / 24.82 ± 1.60,14.32 ± 2.07 / 53.80 ± 1.48,64.45 ± 1.36 / 41.47 ± 1.86,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.47,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,54.20 ± 3.25 / 65.38 ± 1.84,37.10 ± 2.62 / 23.63 ± 1.58,17.47 ± 3.07 / 53.10 ± 1.68,68.85 ± 1.46 / 42.19 ± 1.62,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.47,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,45.04 ± 2.78 / 59.71 ± 2.30,48.85 ± 1.68 / 24.82 ± 1.60,14.32 ± 2.07 / 53.80 ± 1.48,64.45 ± 1.36 / 41.47 ± 1.86,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-Instruct'>LumiOpen/Llama-Poro-2-8B-Instruct</a>,📝,2.48,8030261248.0,128256.0,?,✓,✗,(✓),✗,52.84 ± 1.27 / 66.62 ± 0.83,46.58 ± 1.73 / 31.02 ± 1.65,13.11 ± 1.32 / 55.67 ± 0.77,60.21 ± 1.82 / 34.87 ± 1.58,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.48,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,37.95 ± 2.83 / 52.98 ± 2.89,47.63 ± 2.05 / 31.90 ± 2.00,13.47 ± 2.02 / 46.05 ± 2.57,73.42 ± 1.28 / 55.21 ± 1.95,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.49,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,48.82 ± 2.15 / 60.48 ± 2.73,37.95 ± 3.50 / 25.25 ± 1.61,18.81 ± 2.05 / 50.95 ± 4.34,69.26 ± 1.90 / 47.01 ± 2.63,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.50,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,50.95 ± 1.16 / 64.74 ± 0.87,43.74 ± 1.75 / 22.83 ± 1.33,15.44 ± 1.09 / 57.27 ± 0.63,64.65 ± 1.16 / 39.76 ± 1.64,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.50,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,50.01 ± 1.46 / 63.80 ± 1.13,49.76 ± 1.70 / 31.13 ± 1.79,6.41 ± 1.92 / 46.11 ± 2.71,68.78 ± 1.27 / 44.77 ± 1.54,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.51,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,47.52 ± 2.22 / 59.11 ± 1.07,48.88 ± 1.81 / 29.31 ± 1.84,9.32 ± 2.43 / 47.74 ± 2.26,64.89 ± 2.41 / 42.84 ± 2.98,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.53,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,53.79 ± 1.52 / 66.25 ± 1.11,50.53 ± 1.59 / 32.28 ± 3.67,0.92 ± 1.21 / 33.68 ± 0.34,67.11 ± 1.25 / 45.97 ± 2.00,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.53,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,47.84 ± 2.85 / 59.49 ± 3.05,45.51 ± 1.20 / 32.00 ± 1.78,16.76 ± 3.05 / 57.28 ± 2.11,57.29 ± 1.11 / 31.61 ± 1.30,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.57,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,54.16 ± 0.93 / 66.96 ± 0.73,45.43 ± 1.77 / 22.76 ± 1.19,10.74 ± 1.58 / 52.01 ± 1.44,57.55 ± 1.20 / 29.28 ± 1.38,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.58,561192082.0,250002.0,512.0,✓,✗,(✓),✓,39.23 ± 12.90 / 46.44 ± 7.62,71.53 ± 1.17 / 68.03 ± 1.22,9.74 ± 4.77 / 48.49 ± 4.27,29.43 ± 1.47 / 21.20 ± 1.13,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.60,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,45.94 ± 1.06 / 61.66 ± 0.92,48.35 ± 1.20 / 28.24 ± 1.81,6.75 ± 2.13 / 50.38 ± 3.26,65.92 ± 1.58 / 47.29 ± 1.73,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.60,?,?,1047576.0,✓,✗,✗,✓,58.16 ± 3.43 / 68.93 ± 2.44,34.76 ± 2.45 / 23.44 ± 1.66,19.06 ± 3.48 / 56.13 ± 1.73,53.42 ± 1.49 / 21.11 ± 1.88,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0,16.0.1.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.60,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,49.61 ± 1.28 / 62.04 ± 0.92,36.52 ± 1.51 / 25.99 ± 1.50,14.53 ± 2.39 / 56.68 ± 1.25,66.34 ± 0.84 / 35.16 ± 1.98,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.61,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,44.10 ± 1.02 / 46.69 ± 0.62,46.80 ± 1.56 / 28.85 ± 3.45,3.93 ± 2.13 / 46.28 ± 3.45,72.29 ± 0.82 / 53.14 ± 0.84,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.62,470927360.0,501153.0,512.0,✓,✗,(✓),✗,51.10 ± 2.25 / 64.36 ± 1.51,69.11 ± 1.17 / 67.42 ± 0.70,4.09 ± 2.71 / 51.27 ± 1.18,25.42 ± 1.40 / 17.83 ± 1.27,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,2.62,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,37.61 ± 5.86 / 52.71 ± 5.47,49.81 ± 1.03 / 30.00 ± 1.54,29.09 ± 1.83 / 64.11 ± 0.98,34.69 ± 0.95 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,2.62,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,36.12 ± 4.36 / 38.65 ± 3.53,48.96 ± 0.95 / 30.90 ± 1.56,10.03 ± 1.71 / 49.10 ± 3.73,66.04 ± 0.96 / 43.10 ± 1.41,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.62,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,44.43 ± 1.88 / 60.62 ± 1.45,45.01 ± 1.27 / 26.62 ± 1.92,7.26 ± 1.65 / 52.93 ± 1.13,66.10 ± 1.11 / 44.92 ± 1.08,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
