<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.98,?,256128.0,1048576.0,✓,✗,✗,✓,44.28 ± 2.99 / 57.07 ± 2.15,60.87 ± 1.91 / 60.87 ± 1.91,42.02 ± 3.86 / 63.44 ± 2.37,60.41 ± 1.09 / 31.31 ± 1.19,29.52 ± 0.25 / 34.54 ± 0.31,59.47 ± 1.87 / 69.57 ± 1.39,41.16 ± 4.37 / 70.62 ± 2.07,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.15.0.dev0,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.01,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,44.01 ± 1.25 / 59.94 ± 0.78,78.80 ± 0.78 / 78.80 ± 0.78,40.77 ± 1.36 / 69.42 ± 0.62,52.42 ± 1.02 / 26.93 ± 1.16,24.77 ± 0.40 / 30.45 ± 0.30,69.70 ± 0.47 / 77.26 ± 0.35,30.79 ± 2.81 / 65.40 ± 1.40,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.04,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,49.03 ± 1.44 / 63.86 ± 0.96,81.73 ± 0.91 / 81.73 ± 0.91,56.53 ± 1.25 / 77.79 ± 0.66,62.15 ± 0.67 / 33.31 ± 0.66,0.00 ± 0.00 / 0.00 ± 0.00,66.31 ± 1.21 / 74.69 ± 0.92,38.62 ± 2.88 / 70.62 ± 1.27,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,2.05,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,47.10 ± 2.40 / 62.57 ± 1.78,85.81 ± 0.71 / 85.81 ± 0.71,60.85 ± 1.60 / 80.18 ± 0.84,63.36 ± 0.80 / 41.52 ± 0.98,0.00 ± 0.00 / 0.00 ± 0.00,79.59 ± 1.52 / 84.65 ± 1.14,19.47 ± 4.24 / 60.55 ± 2.87,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.06,?,?,400000.0,✓,✗,✗,✓,45.56 ± 1.67 / 57.02 ± 1.19,72.69 ± 0.51 / 72.69 ± 0.51,62.14 ± 1.17 / 80.56 ± 0.65,62.60 ± 0.59 / 33.58 ± 0.49,0.00 ± 0.00 / 0.00 ± 0.00,78.22 ± 0.87 / 83.63 ± 0.66,34.76 ± 2.80 / 65.31 ± 1.34,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.07,?,?,400000.0,✓,✗,✗,✓,47.15 ± 1.48 / 58.21 ± 0.98,72.66 ± 0.60 / 72.66 ± 0.60,61.05 ± 1.86 / 79.29 ± 1.06,62.99 ± 0.56 / 33.87 ± 0.47,0.00 ± 0.00 / 0.00 ± 0.00,78.99 ± 0.70 / 84.26 ± 0.52,33.72 ± 2.23 / 67.27 ± 0.98,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.14,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,48.92 ± 1.36 / 66.07 ± 0.92,68.72 ± 1.30 / 68.72 ± 1.30,35.56 ± 2.21 / 64.47 ± 2.56,60.68 ± 1.22 / 38.88 ± 1.46,30.07 ± 0.13 / 34.23 ± 0.22,47.18 ± 0.54 / 60.26 ± 0.41,22.13 ± 1.83 / 61.01 ± 0.93,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.15,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,50.75 ± 1.23 / 66.53 ± 0.80,75.41 ± 0.84 / 75.41 ± 0.84,37.38 ± 1.20 / 64.05 ± 1.48,52.94 ± 1.09 / 26.40 ± 2.05,29.66 ± 0.13 / 34.18 ± 0.13,40.73 ± 1.20 / 55.39 ± 0.92,21.78 ± 1.71 / 60.86 ± 0.87,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.17,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,44.07 ± 1.40 / 60.96 ± 0.88,74.99 ± 1.10 / 74.99 ± 1.10,41.65 ± 1.79 / 67.97 ± 0.76,50.52 ± 1.68 / 27.33 ± 1.86,25.33 ± 0.82 / 30.81 ± 0.51,58.02 ± 1.13 / 68.49 ± 0.86,23.59 ± 1.58 / 61.82 ± 0.79,16.6.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.19,?,?,400000.0,✓,✗,✗,✓,44.53 ± 1.64 / 59.80 ± 1.12,70.90 ± 0.45 / 70.90 ± 0.45,66.90 ± 1.69 / 82.94 ± 0.89,65.17 ± 0.57 / 40.58 ± 0.56,0.00 ± 0.00 / 0.00 ± 0.00,67.47 ± 0.78 / 75.51 ± 0.59,22.53 ± 2.40 / 61.80 ± 1.17,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.22,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,49.60 ± 1.73 / 61.33 ± 1.54,63.18 ± 1.36 / 63.18 ± 1.36,32.76 ± 4.98 / 59.74 ± 5.06,60.48 ± 1.94 / 37.01 ± 1.84,28.29 ± 0.82 / 30.57 ± 1.20,44.57 ± 0.80 / 58.13 ± 0.57,22.26 ± 1.67 / 60.85 ± 0.76,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.23,?,?,400000.0,✓,✗,✗,✓,43.97 ± 1.45 / 56.53 ± 1.05,62.75 ± 0.74 / 62.75 ± 0.74,57.23 ± 1.38 / 78.18 ± 0.71,60.84 ± 0.41 / 32.81 ± 0.49,0.00 ± 0.00 / 0.00 ± 0.00,73.50 ± 0.94 / 80.12 ± 0.70,31.72 ± 2.32 / 67.03 ± 1.23,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.24,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,41.44 ± 1.83 / 52.14 ± 1.78,61.80 ± 2.12 / 61.80 ± 2.12,49.64 ± 2.65 / 74.55 ± 1.33,37.40 ± 0.80 / 27.91 ± 0.83,0.00 ± 0.00 / 0.00 ± 0.00,75.93 ± 1.08 / 81.84 ± 0.82,59.53 ± 2.51 / 81.25 ± 1.20,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.27,70599864480.0,131072.0,65536.0,✗,✗,(✓),✗,49.86 ± 1.89 / 63.28 ± 2.00,61.48 ± 1.14 / 61.48 ± 1.14,41.47 ± 1.81 / 65.45 ± 1.79,44.06 ± 4.67 / 26.56 ± 3.49,30.32 ± 0.08 / 35.06 ± 0.15,40.35 ± 1.32 / 54.11 ± 0.98,24.04 ± 2.57 / 61.55 ± 1.34,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,17.0.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.29,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,45.94 ± 1.51 / 63.89 ± 0.93,65.00 ± 1.10 / 65.00 ± 1.10,35.36 ± 2.18 / 66.50 ± 1.19,57.81 ± 1.63 / 38.09 ± 1.90,30.35 ± 0.11 / 34.44 ± 0.22,41.65 ± 0.89 / 55.98 ± 0.65,13.99 ± 1.50 / 56.88 ± 0.80,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.30,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,50.38 ± 1.83 / 66.37 ± 1.17,71.93 ± 0.71 / 71.93 ± 0.71,40.43 ± 3.18 / 67.73 ± 2.52,67.72 ± 1.54 / 49.66 ± 1.47,0.00 ± 0.00 / 0.00 ± 0.00,57.68 ± 1.94 / 68.16 ± 1.45,26.72 ± 3.34 / 63.98 ± 1.67,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.32,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,43.29 ± 1.37 / 59.58 ± 1.57,68.68 ± 1.68 / 68.68 ± 1.68,29.53 ± 2.03 / 61.76 ± 1.29,64.65 ± 1.15 / 43.08 ± 1.26,28.61 ± 0.99 / 31.61 ± 1.59,41.59 ± 1.00 / 56.22 ± 0.76,14.45 ± 1.91 / 57.23 ± 0.92,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.15.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.35,12163481600.0,131072.0,8192.0,✓,✗,(✓),✓,45.35 ± 2.18 / 61.39 ± 1.52,68.05 ± 1.14 / 68.05 ± 1.14,48.05 ± 1.98 / 73.33 ± 1.10,59.19 ± 1.05 / 40.32 ± 0.87,0.00 ± 0.00 / 0.00 ± 0.00,54.82 ± 1.46 / 65.98 ± 1.07,28.24 ± 2.39 / 65.00 ± 1.13,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,2.38,13945031680.0,131072.0,8192.0,✓,✗,(✓),✓,40.63 ± 1.72 / 56.83 ± 1.33,69.83 ± 0.98 / 69.83 ± 0.98,48.71 ± 1.48 / 73.51 ± 0.92,68.07 ± 1.33 / 50.02 ± 1.32,0.00 ± 0.00 / 0.00 ± 0.00,52.06 ± 1.66 / 64.06 ± 1.24,26.57 ± 2.63 / 65.00 ± 1.25,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.41,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,20.15 ± 8.33 / 36.79 ± 7.66,70.25 ± 1.13 / 70.25 ± 1.13,40.01 ± 1.89 / 65.90 ± 0.81,54.24 ± 0.63 / 29.36 ± 0.84,31.95 ± 0.24 / 36.13 ± 0.27,35.71 ± 0.76 / 51.80 ± 0.57,23.54 ± 4.01 / 62.66 ± 1.99,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16 (val)</a>,🤔,2.42,31577934400.0,131072.0,262144.0,✓,✗,✗,✓,42.50 ± 1.71 / 59.62 ± 1.31,78.80 ± 1.00 / 78.80 ± 1.00,24.03 ± 1.92 / 51.87 ± 1.42,50.54 ± 0.94 / 32.18 ± 0.86,0.00 ± 0.00 / 0.00 ± 0.00,64.99 ± 0.88 / 73.55 ± 0.69,33.57 ± 4.35 / 67.03 ± 1.98,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.42,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,44.04 ± 1.28 / 59.96 ± 0.80,50.27 ± 1.45 / 50.27 ± 1.45,33.65 ± 1.54 / 64.99 ± 1.01,51.37 ± 1.02 / 29.12 ± 1.21,15.74 ± 1.60 / 19.10 ± 1.92,68.24 ± 0.94 / 75.52 ± 0.77,21.29 ± 4.32 / 60.06 ± 2.26,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.15.0.dev0,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.43,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,40.71 ± 3.41 / 56.68 ± 2.06,55.89 ± 1.74 / 55.89 ± 1.74,26.48 ± 5.02 / 58.90 ± 3.29,62.84 ± 1.76 / 37.14 ± 1.83,29.55 ± 0.12 / 34.02 ± 0.13,34.49 ± 3.08 / 50.39 ± 2.34,19.21 ± 4.47 / 58.28 ± 2.46,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.17.0.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/google/gemma-4-E4B-it'>google/gemma-4-E4B-it (val)</a>,📝,2.43,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,43.36 ± 2.42 / 60.61 ± 1.64,68.58 ± 0.89 / 68.58 ± 0.89,38.34 ± 2.03 / 68.05 ± 0.94,61.64 ± 0.57 / 35.00 ± 0.92,0.00 ± 0.00 / 0.00 ± 0.00,46.55 ± 1.85 / 60.00 ± 1.34,35.01 ± 3.29 / 66.72 ± 1.60,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.44,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,44.13 ± 1.31 / 59.26 ± 0.95,79.13 ± 0.61 / 79.13 ± 0.61,17.80 ± 1.84 / 45.26 ± 0.64,50.37 ± 0.61 / 34.22 ± 0.69,0.17 ± 0.09 / 0.19 ± 0.10,67.61 ± 1.67 / 75.55 ± 1.24,34.89 ± 4.28 / 69.61 ± 2.02,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.45,7415529472.0,131072.0,8192.0,✓,✗,(✓),✓,46.13 ± 1.74 / 61.93 ± 1.23,70.07 ± 1.01 / 70.07 ± 1.01,47.38 ± 2.05 / 72.60 ± 1.05,57.42 ± 0.90 / 39.18 ± 0.81,0.00 ± 0.00 / 0.00 ± 0.00,48.73 ± 1.27 / 61.17 ± 0.91,19.45 ± 1.94 / 63.44 ± 1.07,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.45,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,44.31 ± 1.43 / 62.55 ± 1.07,66.81 ± 1.48 / 66.81 ± 1.48,23.95 ± 1.78 / 61.15 ± 1.07,56.97 ± 1.00 / 31.98 ± 1.25,28.37 ± 0.29 / 31.57 ± 0.70,31.90 ± 1.23 / 48.95 ± 0.96,14.16 ± 1.70 / 56.95 ± 0.86,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.47,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,43.49 ± 1.67 / 62.14 ± 1.21,68.00 ± 1.07 / 68.00 ± 1.07,21.22 ± 1.10 / 59.89 ± 0.76,55.68 ± 1.70 / 32.56 ± 1.93,28.22 ± 0.18 / 31.42 ± 0.54,31.44 ± 1.17 / 48.63 ± 0.92,12.13 ± 1.78 / 55.93 ± 0.90,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.48,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,43.62 ± 1.59 / 61.46 ± 1.31,72.80 ± 1.38 / 72.80 ± 1.38,22.61 ± 1.68 / 55.16 ± 1.89,59.76 ± 2.59 / 38.53 ± 4.05,21.44 ± 1.57 / 21.93 ± 1.74,31.80 ± 1.09 / 48.84 ± 0.86,13.04 ± 2.45 / 56.44 ± 1.29,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.15.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.48,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,46.01 ± 1.67 / 63.44 ± 1.21,61.80 ± 0.68 / 61.80 ± 0.68,32.48 ± 2.43 / 61.75 ± 2.28,40.77 ± 2.17 / 10.25 ± 1.78,30.76 ± 0.13 / 34.05 ± 0.34,37.95 ± 0.72 / 53.32 ± 0.56,11.93 ± 1.91 / 55.77 ± 1.09,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.49,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,41.22 ± 2.14 / 52.45 ± 1.77,49.02 ± 3.16 / 49.02 ± 3.16,40.05 ± 1.46 / 65.96 ± 1.12,34.68 ± 0.73 / 25.44 ± 0.81,0.00 ± 0.00 / 0.00 ± 0.00,71.86 ± 1.15 / 78.75 ± 0.88,53.85 ± 3.05 / 78.75 ± 1.31,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.49,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,39.24 ± 2.21 / 54.21 ± 1.50,67.13 ± 1.24 / 67.13 ± 1.24,29.73 ± 2.86 / 62.96 ± 1.50,36.87 ± 1.98 / 23.93 ± 1.62,18.76 ± 0.69 / 24.11 ± 0.74,43.35 ± 2.73 / 57.42 ± 2.07,28.63 ± 4.69 / 65.23 ± 2.28,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.49,30491811840.0,131072.0,262144.0,✓,✗,✗,✓,42.29 ± 1.69 / 59.16 ± 1.38,77.63 ± 0.82 / 77.63 ± 0.82,23.37 ± 1.50 / 50.33 ± 1.33,45.25 ± 0.86 / 26.73 ± 0.85,0.05 ± 0.02 / 0.07 ± 0.02,64.60 ± 0.74 / 73.36 ± 0.58,31.65 ± 3.81 / 65.31 ± 1.65,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.53,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,42.95 ± 1.15 / 60.88 ± 0.76,59.23 ± 1.78 / 59.23 ± 1.78,20.23 ± 1.83 / 45.24 ± 1.92,60.92 ± 2.13 / 39.62 ± 1.78,28.00 ± 1.85 / 29.92 ± 2.44,28.02 ± 1.35 / 45.77 ± 1.01,13.40 ± 2.36 / 56.34 ± 1.23,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.54,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,42.08 ± 1.44 / 50.18 ± 2.74,59.06 ± 2.96 / 59.06 ± 2.96,24.39 ± 2.68 / 56.09 ± 3.31,62.39 ± 3.20 / 42.77 ± 3.03,27.37 ± 1.59 / 29.82 ± 2.33,28.63 ± 1.31 / 46.16 ± 0.95,8.83 ± 3.09 / 54.02 ± 1.50,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.15.0.dev0,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.55,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,48.75 ± 1.21 / 64.71 ± 1.00,64.57 ± 1.07 / 64.57 ± 1.07,30.44 ± 1.84 / 58.13 ± 1.63,30.20 ± 5.61 / 9.60 ± 4.92,29.24 ± 0.18 / 33.54 ± 0.15,30.33 ± 1.16 / 47.20 ± 0.91,10.31 ± 2.04 / 54.80 ± 1.06,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.14.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.57,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,37.58 ± 2.67 / 58.02 ± 1.77,70.11 ± 0.84 / 70.11 ± 0.84,41.83 ± 3.65 / 69.94 ± 1.80,62.78 ± 1.49 / 41.63 ± 1.45,0.00 ± 0.00 / 0.00 ± 0.00,47.38 ± 1.54 / 60.59 ± 1.15,12.78 ± 4.21 / 54.92 ± 1.93,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.57,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,39.63 ± 2.68 / 57.85 ± 1.80,55.72 ± 0.90 / 55.72 ± 0.90,31.06 ± 2.20 / 63.67 ± 1.23,59.91 ± 0.51 / 37.13 ± 0.60,29.12 ± 0.16 / 33.85 ± 0.18,23.15 ± 1.80 / 41.84 ± 1.37,7.65 ± 2.91 / 50.39 ± 1.93,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.58,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,45.00 ± 0.97 / 62.65 ± 0.85,59.03 ± 1.01 / 59.03 ± 1.01,22.03 ± 2.33 / 49.75 ± 2.54,55.79 ± 2.09 / 36.32 ± 2.39,29.37 ± 0.40 / 32.75 ± 0.68,28.73 ± 0.78 / 46.38 ± 0.62,6.90 ± 1.98 / 52.85 ± 1.04,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.15.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.58,?,?,?,✓,✗,(✓),✓,23.32 ± 3.23 / 39.39 ± 3.63,58.42 ± 1.72 / 58.42 ± 1.72,32.45 ± 1.65 / 64.97 ± 1.09,62.27 ± 1.22 / 39.83 ± 1.47,28.46 ± 0.18 / 33.12 ± 0.21,34.38 ± 0.93 / 50.65 ± 0.70,11.94 ± 1.73 / 55.94 ± 0.91,17.0.0.dev0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0,16.17.0
